Epoch,NRC1,NRC2,Train Loss,Test Loss,
1,0.449579328,3.4983635,65.13909101,99.57011908,
2,0.332520664,2.852302,54.84496808,82.6116327,
3,0.297142237,2.5447774,53.74777293,75.08902498,
4,0.223876,2.423437,46.89234138,72.98034234,
5,0.198624373,2.138236,47.64226913,64.22541587,
6,0.201952502,2.0136983,45.4432673,58.12453791,
7,0.20441103,1.8544862,42.47208023,51.70215907,
8,0.201843306,1.7967237,42.31122637,45.43623884,
9,0.210655764,1.7804791,41.53546,41.56014744,
10,0.211428955,1.8025825,39.7854033,39.16910465,
11,0.2112609,1.796091,40.31822348,38.04671127,
12,0.211152107,1.7877693,36.4695488,37.62198381,
13,0.209635675,1.776525,32.98280597,38.71982077,
14,0.215360344,1.8438382,30.62026033,41.16558003,
15,0.204386324,1.8342415,29.29894996,41.91497833,
16,0.19956775,1.9532025,29.21430659,43.73496593,
17,0.190577596,1.987503,28.00053191,43.09330673,
18,0.171596989,1.9512092,22.091398,42.27536454,
19,0.142815188,1.8975213,22.32317305,38.70406757,
20,0.152196258,2.0239918,15.82963943,36.72983668,
21,0.14149718,2.0614867,11.56703568,36.8107309,
22,0.140079126,2.0870292,9.179035938,34.16626235,
23,0.101607837,1.8326324,6.751598462,31.31639084,
24,0.106745742,1.9324788,6.71794273,28.19298213,
25,0.101922654,1.998278,5.835915416,26.91258493,
26,0.078570166,2.0952854,6.11614497,24.09351708,
27,0.105943717,1.9468466,6.412446544,22.16400914,
28,0.091666814,1.6378788,5.649397507,20.13837591,
29,0.101111902,1.5585856,5.032824174,18.62166919,
30,0.09184796,1.5622032,4.117768541,17.7288149,
31,0.061148749,1.4599642,3.959283628,18.02191565,
32,0.08200843,1.3787308,6.108793482,18.02134832,
33,0.091703306,1.2839136,4.840796381,18.10119459,
34,0.073504581,1.1270566,4.438070923,18.42535469,
35,0.066127268,0.975957,4.645371079,19.42535469,
36,0.063496247,0.928712189,4.129019782,18.92431441,
37,0.05279975,0.817598074,4.707046777,18.84851152,
38,0.057150714,0.817081782,3.701333553,18.77247694,
39,0.042670093,0.816204391,3.806516714,17.89844603,
40,0.046579693,0.814867741,4.128465101,18.61928671,
41,0.045723908,0.812985096,3.992767788,18.54194169,
42,0.039766222,0.810483299,5.056759357,18.46399097,
43,0.030027239,0.807304592,4.267507285,18.38537359,
44,0.028606411,0.803408051,4.58570002,17.56162802,
45,0.026150348,0.798770608,4.109599762,18.22597896,
46,0.031449698,0.793387619,4.753757156,18.14516667,
47,0.027505891,0.787272983,3.879627116,18.06361848,
48,0.024233162,0.780458797,4.239324555,17.9813629,
