gamma,NRC3
0.081756145,0.014794546
0.081912167,0.014813941
0.08206819,0.014833316
0.08222422,0.014852677
0.082380243,0.014872018
0.082536265,0.014891342
0.082692288,0.014910649
0.08284831,0.014929937
0.083004333,0.01494921
0.083160356,0.014968466
0.083316378,0.014987703
0.083472408,0.015006923
0.083628431,0.015026126
0.083784454,0.015045313
0.083940476,0.015064482
0.084096499,0.015083634
0.084252521,0.015102769
0.084408544,0.015121887
0.084564567,0.01514099
0.084720589,0.015160074
0.084876619,0.01517914
0.085032642,0.015198192
0.085188664,0.015217228
0.085344687,0.015236245
0.08550071,0.015255245
0.085656732,0.01527423
0.085812755,0.015293201
0.085968778,0.015312151
0.086124808,0.015331089
0.08628083,0.015350007
0.086436853,0.015368911
0.086592875,0.015387797
0.086748898,0.015406667
0.086904921,0.015425521
0.087060943,0.015444358
0.087216966,0.015463181
0.087372988,0.015481986
0.087529019,0.015500778
0.087685041,0.01551955
0.087841064,0.015538309
0.087997086,0.015557051
0.088153109,0.015575778
0.088309132,0.015594488
0.088465154,0.015613184
0.088621177,0.015631864
0.088777199,0.015650526
0.088933229,0.015669174
0.089089252,0.015687805
0.089245275,0.015706422
0.089401297,0.015725024
0.08955732,0.015743611
0.089713342,0.01576218
0.089869365,0.015780734
0.090025388,0.015799273
0.090181418,0.015817799
0.09033744,0.015836308
0.090493463,0.0158548
0.090649486,0.015873279
0.090805508,0.015891746
0.090961531,0.015910191
0.091117553,0.015928624
0.091273576,0.015947046
0.091429599,0.015965447
0.091585629,0.015983837
0.091741651,0.01600221
0.091897674,0.016020568
0.092053697,0.016038911
0.092209719,0.01605724
0.092365742,0.016075555
0.092521764,0.016093854
0.092677787,0.016112139
0.092833817,0.01613041
0.09298984,0.016148664
0.093145862,0.016166905
0.093301885,0.016185131
0.093457907,0.016203344
0.09361393,0.01622154
0.093769953,0.016239723
0.093925975,0.016257895
0.094081998,0.016276045
0.094238028,0.016294185
0.094394051,0.01631231
0.094550073,0.016330425
0.094706096,0.01634852
0.094862118,0.016366605
0.095018141,0.016384671
0.095174164,0.016402727
0.095330186,0.016420765
0.095486216,0.016438795
0.095642239,0.016456805
0.095798261,0.016474806
0.095954284,0.01649279
0.096110307,0.016510759
0.096266329,0.016528716
0.096422352,0.016546657
0.096578375,0.016564587
0.096734397,0.0165825
0.096890427,0.016600404
0.09704645,0.016618291
0.097202472,0.016636167
0.097358495,0.016654026
0.097514518,0.016671874
0.09767054,0.016689705
0.097826563,0.016707528
0.097982585,0.016725332
0.098138615,0.016743125
0.098294638,0.016760904
0.098450661,0.01677867
0.098606683,0.016796423
0.098762706,0.016814161
0.098918729,0.016831886
0.099074751,0.016849598
0.099230774,0.016867299
0.099386796,0.016884983
0.099542826,0.016902655
0.099698849,0.016920317
0.099854872,0.016937964
0.100010894,0.016955597
0.100166917,0.016973214
0.100322939,0.016990826
0.100478962,0.017008418
0.100634985,0.017026
0.100791015,0.017043566
0.100947037,0.017061124
0.10110306,0.017078666
0.101259083,0.017096195
0.101415105,0.017113712
0.101571128,0.017131215
0.10172715,0.017148705
0.101883173,0.017166184
0.102039196,0.01718365
0.102195226,0.017201103
0.102351248,0.017218541
0.102507271,0.01723597
0.102663293,0.017253386
0.102819316,0.017270789
0.102975339,0.017288176
0.103131361,0.017305553
0.103287384,0.017322918
0.103443414,0.017340275
0.103599437,0.01735761
0.103755459,0.01737494
0.103911482,0.017392255
0.104067504,0.017409554
0.104223527,0.017426847
0.10437955,0.017444124
0.104535572,0.017461391
0.104691595,0.017478645
0.104847625,0.017495887
0.105003648,0.017513117
0.10515967,0.017530335
0.105315693,0.017547539
0.105471715,0.017564731
0.105627738,0.017581912
0.105783761,0.017599078
0.105939783,0.017616235
0.106095806,0.017633379
0.106251836,0.017650513
0.106407858,0.017667634
0.106563881,0.017684741
0.106719904,0.017701842
0.106875926,0.017718924
0.107031949,0.017735995
0.107187971,0.017753059
0.107343994,0.017770108
0.107500024,0.017787144
0.107656047,0.017804172
0.107812069,0.017821185
0.107968092,0.017838189
0.108124115,0.01785518
0.108280137,0.017872158
0.10843616,0.017889127
0.108592182,0.017906083
0.108748205,0.017923027
0.108904235,0.017939961
0.109060258,0.017956881
0.10921628,0.017973792
0.109372303,0.01799069
0.109528325,0.018007576
0.109684348,0.018024452
0.109840371,0.018041316
0.109996393,0.01805817
0.110152423,0.018075012
0.110308446,0.018091841
0.110464469,0.01810866
0.110620491,0.018125467
0.110776514,0.018142264
0.110932536,0.018159049
0.111088559,0.018175822
0.111244582,0.018192584
0.111400604,0.018209336
0.111556634,0.018226078
0.111712657,0.018242806
0.11186868,0.018259525
0.112024702,0.018276233
0.112180725,0.018292928
0.112336747,0.018309614
0.11249277,0.018326286
0.112648793,0.018342949
0.112804823,0.018359601
0.112960845,0.018376244
0.113116868,0.018392872
0.11327289,0.018409492
0.113428913,0.0184261
0.113584936,0.018442698
0.113740958,0.018459287
0.113896981,0.018475862
0.114053003,0.018492427
0.114209034,0.018508982
0.114365056,0.018525526
0.114521079,0.018542059
0.114677101,0.01855858
0.114833124,0.018575093
0.114989147,0.018591596
0.115145169,0.018608084
0.115301192,0.018624565
0.115457222,0.018641034
0.115613244,0.018657491
0.115769267,0.01867394
0.11592529,0.018690377
0.116081312,0.018706804
0.116237335,0.018723223
0.116393358,0.018739628
0.11654938,0.018756025
0.116705403,0.01877241
0.116861433,0.018788785
0.117017455,0.01880515
0.117173478,0.018821504
0.117329501,0.018837847
0.117485523,0.01885418
0.117641546,0.018870505
0.117797568,0.018886819
0.117953591,0.018903119
0.118109621,0.018919414
0.118265644,0.018935695
0.118421666,0.018951969
0.118577689,0.01896823
0.118733712,0.018984484
0.118889734,0.019000724
0.119045757,0.019016955
0.119201779,0.019033179
0.119357802,0.019049389
0.119513832,0.019065591
0.119669855,0.019081783
0.119825877,0.019097963
0.1199819,0.019114135
0.120137922,0.019130297
0.120293945,0.019146448
0.120449968,0.019162588
0.12060599,0.019178722
0.12076202,0.019194843
0.120918043,0.019210957
0.121074066,0.019227058
0.121230088,0.019243149
0.121386111,0.019259233
0.121542133,0.019275306
0.121698156,0.019291371
0.121854179,0.019307422
0.122010201,0.019323464
0.122166231,0.019339498
0.122322254,0.019355524
0.122478276,0.019371537
0.122634299,0.019387541
0.122790322,0.019403538
0.122946344,0.019419523
0.123102367,0.019435499
0.12325839,0.019451464
0.12341442,0.019467421
0.123570442,0.019483369
0.123726465,0.019499306
0.123882487,0.019515235
0.12403851,0.019531151
0.124194533,0.01954706
0.124350555,0.019562962
0.124506578,0.019578852
0.1246626,0.019594733
0.124818631,0.019610606
0.124974653,0.019626463
0.125130668,0.019642316
0.125286698,0.019658159
0.125442728,0.019673996
0.125598744,0.019689821
0.125754774,0.019705635
0.125910789,0.019721439
0.126066819,0.019737236
0.126222834,0.019753024
0.126378864,0.019768801
0.126534879,0.01978457
0.126690909,0.019800331
0.126846939,0.01981608
0.127002954,0.019831823
0.127158985,0.019847551
0.127315,0.019863276
0.12747103,0.019878991
0.127627045,0.019894695
0.127783075,0.019910393
0.12793909,0.019926077
0.12809512,0.019941755
0.12825115,0.019957423
0.128407165,0.019973084
0.128563195,0.019988734
0.128719211,0.020004375
0.128875241,0.020020008
0.129031256,0.020035632
0.129187286,0.020051247
0.129343301,0.020066854
0.129499331,0.020082448
0.129655361,0.020098036
0.129811376,0.020113613
0.129967406,0.020129185
0.130123422,0.020144748
0.130279452,0.020160301
0.130435467,0.020175843
0.130591497,0.020191379
0.130747527,0.020206904
0.130903542,0.020222422
0.131059572,0.02023793
0.131215587,0.020253429
0.131371617,0.020268923
0.131527632,0.020284405
0.131683663,0.020299876
0.131839678,0.020315344
0.131995708,0.020330796
0.132151738,0.020346247
0.132307753,0.020361686
0.132463783,0.020377114
0.132619798,0.020392539
0.132775828,0.020407952
0.132931843,0.020423355
0.133087873,0.020438751
0.133243889,0.020454139
0.133399919,0.020469518
0.133555949,0.020484889
0.133711964,0.020500252
0.133867994,0.020515606
0.134024009,0.02053095
0.134180039,0.020546289
0.134336054,0.020561613
0.134492084,0.020576935
0.1346481,0.020592248
0.13480413,0.02060755
0.13496016,0.020622844
0.135116175,0.020638132
0.135272205,0.020653412
0.13542822,0.020668678
0.13558425,0.020683942
0.135740265,0.020699194
0.135896295,0.020714439
0.13605231,0.020729676
0.136208341,0.020744903
0.136364371,0.020760125
0.136520386,0.020775337
0.136676416,0.02079054
0.136832431,0.020805733
0.136988461,0.020820921
0.137144476,0.020836098
0.137300506,0.020851269
0.137456536,0.020866433
0.137612551,0.02088159
0.137768582,0.020896735
0.137924597,0.020911872
0.138080627,0.020927003
0.138236642,0.020942127
0.138392672,0.020957241
0.138548687,0.020972345
0.138704717,0.020987445
0.138860747,0.021002537
0.139016762,0.021017617
0.139172792,0.021032689
0.139328808,0.021047756
0.139484838,0.021062816
0.139640853,0.021077866
0.139796883,0.021092907
0.139952898,0.02110794
0.140108928,0.021122968
0.140264958,0.021137986
0.140420973,0.021152997
0.140577003,0.021167997
0.140733019,0.021182993
0.140889049,0.02119798
0.141045064,0.021212958
0.141201094,0.021227932
0.141357109,0.021242892
0.141513139,0.021257848
0.141669169,0.021272797
0.141825184,0.021287736
0.141981214,0.02130267
0.142137229,0.021317594
0.14229326,0.021332512
0.142449275,0.021347418
0.142605305,0.021362323
0.142761335,0.021377217
0.14291735,0.0213921
0.14307338,0.021406978
0.143229395,0.021421848
0.143385425,0.021436714
0.14354144,0.02145157
0.14369747,0.021466415
0.143853486,0.021481255
0.144009516,0.021496089
0.144165546,0.021510914
0.144321561,0.021525731
0.144477591,0.021540541
0.144633606,0.021555342
0.144789636,0.021570139
0.144945651,0.021584924
0.145101681,0.021599703
0.145257697,0.021614475
0.145413727,0.02162924
0.145569757,0.021643998
0.145725772,0.021658748
0.145881802,0.021673489
0.146037817,0.021688225
0.146193847,0.021702953
0.146349862,0.021717673
0.146505892,0.021732386
0.146661907,0.021747092
0.146817937,0.021761786
0.146973968,0.021776477
0.147129983,0.021791162
0.147286013,0.021805838
0.147442028,0.021820504
0.147598058,0.021835167
0.147754073,0.02184982
0.147910103,0.021864468
0.148066133,0.021879107
0.148222148,0.021893738
0.148378178,0.021908363
0.148534194,0.02192298
0.148690224,0.02193759
0.148846239,0.021952191
0.149002269,0.021966789
0.149158284,0.021981377
0.149314314,0.021995958
0.149470344,0.022010533
0.149626359,0.022025099
0.149782389,0.022039659
0.149938405,0.02205421
0.150094435,0.022068758
0.15025045,0.022083296
0.15040648,0.022097828
0.150562495,0.022112349
0.150718525,0.022126867
0.150874555,0.022141378
0.15103057,0.022155879
0.1511866,0.022170378
0.151342615,0.022184862
0.151498646,0.022199346
0.151654661,0.022213822
0.151810691,0.022228289
0.151966706,0.022242749
0.152122736,0.022257201
0.152278766,0.022271648
0.152434781,0.022286087
0.152590811,0.022300519
0.152746826,0.022314945
0.152902856,0.022329368
0.153058872,0.022343777
0.153214902,0.022358183
0.153370932,0.022372583
0.153526947,0.022386972
0.153682977,0.022401357
0.153838992,0.022415737
0.153995022,0.022430105
0.154151037,0.022444468
0.154307067,0.022458823
0.154463083,0.022473175
0.154619113,0.022487519
0.154775143,0.022501852
0.154931158,0.022516182
0.155087188,0.022530505
0.155243203,0.022544822
0.155399233,0.022559131
0.155555248,0.022573432
0.155711278,0.022587731
0.155867293,0.022602018
0.156023324,0.022616297
