Epoch,NRC1,NRC2,NRC3,Train Loss,Test Loss
51,0.004738646,0.104597919,0.00046003,0.025521643,0.065730647
52,0.004003594,0.094561599,0.000110441,0.024125367,0.056964784
53,0.004299376,0.109114088,0.000423771,0.021191553,0.060331625
54,0.004246137,0.254895359,0.000239116,0.024366694,0.059061723
55,0.005115113,0.18201001,0.000180714,0.022689066,0.059355674
56,0.003884384,0.133892298,0.000266808,0.022967749,0.065314379
57,0.004943675,0.1405022,0.000255537,0.021811278,0.054622941
58,0.005365848,0.153570488,7.04E-05,0.021929788,0.066995589
59,0.005103518,0.11389149,0.000111351,0.022958764,0.070815319
60,0.00438763,0.130072527,0.00027539,0.022285823,0.068570985
61,0.004277376,0.11455185,5.28E-05,0.0227203,0.075292895
62,0.003825826,0.127535373,0.000332939,0.022542776,0.062496525
63,0.003623258,0.113487139,0.000193727,0.022525872,0.074062861
64,0.004250188,0.12150369,0.000177642,0.020796452,0.064816854
65,0.003698374,0.167107756,0.00012173,0.021716385,0.080047057
66,0.004156392,0.134960298,0.000227969,0.020421676,0.061901884
67,0.004130419,0.149087607,0.000580262,0.023356988,0.062837614
68,0.00427288,0.138978254,9.27E-05,0.022402124,0.060484865
69,0.004188611,0.124883704,0.000363055,0.021843264,0.069626569
70,0.004116225,0.122195691,0.000283706,0.021678032,0.068134315
71,0.003702419,0.120610744,9.18E-05,0.020381928,0.064784933
72,0.004502538,0.173799736,0.000511501,0.020370645,0.06575057
73,0.003978888,0.186390601,0.000131552,0.020837995,0.071422288
74,0.003576496,0.17896562,0.000349259,0.02237033,0.05973118
75,0.004393083,0.157394668,0.000164155,0.018957324,0.051593628
76,0.004096571,0.147330171,0.000273588,0.020841462,0.066316336
77,0.003911502,0.127500283,0.000220426,0.020954194,0.063434796
78,0.003591785,0.135249878,0.000494306,0.020328425,0.079943009
79,0.004361376,0.135488492,0.000370535,0.020046324,0.052755612
80,0.00338032,0.151756241,0.000119826,0.018853707,0.057782359
81,0.003865188,0.145712946,0.000195513,0.018959147,0.064460243
82,0.003616895,0.134322752,0.000395363,0.01932629,0.088524167
83,0.003320597,0.138356861,0.000209477,0.020167001,0.051438913
84,0.004248007,0.128795857,7.47E-05,0.019364329,0.077224591
85,0.003799842,0.136876975,0.000107253,0.01892606,0.06018005
86,0.003685895,0.140620899,0.000415439,0.018142427,0.06321125
87,0.003976135,0.13642012,0.000122555,0.01959283,0.059217016
88,0.003464527,0.122309374,0.000339318,0.019522821,0.06671895
89,0.003412361,0.153443559,0.000178477,0.019164762,0.05974615
90,0.003817796,0.133330618,0.000138138,0.019913153,0.061288525
91,0.003126813,0.123601312,0.00010017,0.019455454,0.055560457
92,0.003476128,0.128860483,1.72E-05,0.017521548,0.067385399
93,0.003474333,0.126923258,9.10E-05,0.017043072,0.060552663
94,0.003396635,0.1275455,0.000289852,0.017123489,0.053621915
95,0.003106424,0.12949233,0.000117199,0.018982056,0.052573725
96,0.003620931,0.132763194,0.000446586,0.017431861,0.052755219
97,0.003757375,0.159352385,0.000152776,0.018662503,0.054946439
98,0.003216186,0.139476192,0.000268022,0.020026117,0.057396268
99,0.003933678,0.140194152,0.000257413,0.020058757,0.056689699
100,0.003638647,0.138384778,0.000483652,0.018300553,0.052735567
101,0.003671152,0.142444324,0.000111367,0.012862217,0.055719311
102,0.003427059,0.133328569,5.51E-05,0.012061335,0.0535004
103,0.004332623,0.128876606,0.000248197,0.011261796,0.053050443
104,0.003987913,0.130171092,0.000115295,0.012565052,0.058099519
105,0.003330247,0.120110892,0.000240165,0.01518075,0.060071773
106,0.003592122,0.130262042,0.000668507,0.014988821,0.054315655
107,0.003378847,0.135800744,0.000292435,0.013642534,0.053721289
108,0.003542916,0.133542108,0.00020724,0.013859289,0.053395215
109,0.003470537,0.12885047,0.000146986,0.012282259,0.060761972
110,0.003716149,0.129313888,7.28E-05,0.011748596,0.056198782
111,0.004321811,0.129181775,8.91E-05,0.012384257,0.05425055
112,0.003600515,0.123205276,0.000142963,0.012962931,0.053163004
113,0.003485744,0.150824745,0.00033151,0.014465986,0.054481146
114,0.003617685,0.133509476,0.000197139,0.014421208,0.053037078
115,0.004062612,0.124793291,0.000436515,0.015406774,0.059695166
116,0.003711142,0.126829865,0.000355896,0.014037741,0.059922947
117,0.004012545,0.141925645,7.52E-05,0.014763687,0.060310074
118,0.003811255,0.128948594,0.000140094,0.015302379,0.058646018
119,0.004386972,0.122130588,0.00023638,0.013983287,0.05524543
120,0.003643875,0.122614078,0.000197766,0.012102303,0.061432454
121,0.003531795,0.128775599,0.0001517,0.011004947,0.057783667
122,0.00400192,0.169950846,0.000316861,0.016121609,0.054279584
123,0.004498923,0.139475126,5.08E-05,0.015819858,0.056084101
124,0.003835178,0.169987294,0.000380703,0.016336402,0.051724562
125,0.00472227,0.1280261,0.000557662,0.01264145,0.05417433
126,0.004640249,0.122079834,0.000516469,0.011345065,0.063045507
127,0.00388405,0.166325229,0.000412752,0.011855765,0.054370929
128,0.004216087,0.12357185,0.000297337,0.012242736,0.0571593
129,0.003475914,0.143681471,0.000380815,0.014175711,0.050942346
130,0.004336897,0.129783079,0.000145229,0.012488692,0.052127746
131,0.003957963,0.120306127,0.000269443,0.012711704,0.049675741
132,0.003731433,0.122972317,4.22E-05,0.016042096,0.051075232
133,0.003399021,0.11999917,0.000187112,0.017456905,0.05447421
134,0.003955869,0.109138332,8.78E-05,0.016369007,0.052059051
135,0.004127052,0.120376781,0.00021041,0.015251147,0.055109978
136,0.004067035,0.114222795,0.000119271,0.013036578,0.056668762
137,0.00408743,0.120465301,2.60E-05,0.012049815,0.054306665
138,0.003639172,0.123199433,0.000373554,0.010055678,0.054080453
139,0.004009344,0.119079009,0.000109769,0.011836174,0.050915356
140,0.003941304,0.123188667,8.86E-05,0.01103517,0.055840708
141,0.004013658,0.117438033,0.000170781,0.013258639,0.054878195
142,0.003692944,0.125218898,0.000356408,0.012735083,0.058965404
143,0.003911545,0.111728616,0.00030681,0.013268009,0.057652363
144,0.003455309,0.118692532,0.000469448,0.015133293,0.056219139
145,0.004025051,0.11783696,0.000154046,0.015762133,0.056767519
146,0.004226681,0.120634094,0.000236572,0.015488446,0.05496731
147,0.004363215,0.119651958,0.000185437,0.015177947,0.051241099
148,0.003916419,0.123333186,0.000397244,0.012415314,0.056308362
149,0.004302008,0.164497937,0.000197181,0.014225074,0.052408142
150,0.003452979,0.150301165,0.000113428,0.016032014,0.060273659
151,0.003662172,0.118499316,0.000270651,0.016178792,0.057006047
152,0.003682371,0.115994498,0.00037979,0.013690119,0.051991113
153,0.004502193,0.131456087,0.000353563,0.01230613,0.054110244
154,0.003961653,0.124481931,0.000531118,0.012089862,0.052793106
155,0.003855108,0.127600476,0.000151201,0.011935191,0.056614191
156,0.004240952,0.116879106,0.000282989,0.012009715,0.057434026
157,0.004103761,0.143207606,0.000206807,0.011913048,0.058157517
158,0.003871955,0.11431586,0.000280068,0.01244654,0.057677329
159,0.004348218,0.115927838,0.000310081,0.013157167,0.050702557
160,0.004685048,0.122365966,0.000568836,0.012897849,0.057060944
161,0.003950032,0.130077692,7.98E-05,0.013955656,0.053695064
162,0.00384207,0.112021908,0.000217766,0.013427893,0.058985375
163,0.004493966,0.145605389,0.000683518,0.016103865,0.054408931
164,0.004336657,0.12301939,3.79E-05,0.013396411,0.057417457
165,0.0037773,0.119100332,0.00039126,0.013446027,0.059008105
166,0.003408314,0.112857305,0.00046003,0.011461246,0.053343786
167,0.003406215,0.135861088,0.000110441,0.013064997,0.058981549
168,0.004706481,0.119749576,0.000423771,0.014243183,0.055465653
169,0.003864854,0.129862711,0.000239116,0.014282697,0.067071765
170,0.004125783,0.149399056,0.000180714,0.014623472,0.054930169
171,0.003536111,0.128459454,0.000266808,0.014122336,0.054059897
172,0.003523104,0.113348961,0.000255537,0.013706253,0.054251993
173,0.004477778,0.135553178,7.04E-05,0.014651614,0.055271426
174,0.003942827,0.119808324,0.000111351,0.014194777,0.062485759
175,0.003851182,0.112406343,0.00027539,0.013743181,0.051168995
176,0.00444998,0.126719082,5.28E-05,0.012819465,0.052943601
177,0.003604674,0.119214386,0.000332939,0.013160468,0.0530992
178,0.004077923,0.12351986,0.000193727,0.014015337,0.050626393
179,0.003725834,0.128692786,0.000177642,0.015107137,0.051077914
180,0.004624504,0.121591218,0.00012173,0.014410751,0.056514953
181,0.003851113,0.12361634,0.000227969,0.013109083,0.061292782
182,0.003556977,0.128970802,0.000580262,0.012712723,0.059473591
183,0.00323758,0.109214023,9.27E-05,0.011691587,0.053800508
184,0.003789415,0.116876453,0.000363055,0.013016089,0.061695022
185,0.003932787,0.113756925,0.000283706,0.015458979,0.054094034
186,0.00378272,0.124643251,9.18E-05,0.015771566,0.054278347
187,0.004176444,0.121716961,0.000511501,0.01355177,0.059685648
188,0.003932375,0.120073281,0.000131552,0.012111704,0.059240706
189,0.003909794,0.114451058,0.000349259,0.01158029,0.056280002
190,0.004689462,0.116040178,0.000164155,0.011711666,0.058393886
191,0.004271762,0.128331155,0.000273588,0.012919572,0.047664121
192,0.003669543,0.124588929,0.000220426,0.012718106,0.055611089
193,0.003770977,0.119932957,0.000494306,0.011339835,0.058167957
194,0.003772991,0.122916795,0.000370535,0.012618335,0.05083678
195,0.003839725,0.125904948,0.000119826,0.01491748,0.060357924
196,0.004561302,0.118090719,0.000195513,0.015215073,0.054445806
197,0.003932761,0.118309893,0.000395363,0.014758961,0.057949209
198,0.004321804,0.114872515,0.000209477,0.012933249,0.056952329
199,0.004303089,0.117613107,7.47E-05,0.013344274,0.056988769
200,0.004159069,0.112947464,0.000107253,0.014226961,0.057815214
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
