"Step","Mno_relu_DS10_Osgd_W0.003 - train.NRC2_new","Mno_relu_DS10_Osgd_W0.003 - train.NRC2_new__MIN","Mno_relu_DS10_Osgd_W0.003 - train.NRC2_new__MAX"
"0","0.8187883496284485","0.8187883496284485","0.8187883496284485"
"1","0.7665372490882874","0.7665372490882874","0.7665372490882874"
"2","0.7255017161369324","0.7255017161369324","0.7255017161369324"
"3","0.6941684484481812","0.6941684484481812","0.6941684484481812"
"4","0.6710613965988159","0.6710613965988159","0.6710613965988159"
"5","0.6548181176185608","0.6548181176185608","0.6548181176185608"
"6","0.6441472768783569","0.6441472768783569","0.6441472768783569"
"7","0.6378332376480103","0.6378332376480103","0.6378332376480103"
"8","0.6347520351409912","0.6347520351409912","0.6347520351409912"
"9","0.6338520050048828","0.6338520050048828","0.6338520050048828"
"10","0.6342688202857971","0.6342688202857971","0.6342688202857971"
"11","0.6350005865097046","0.6350005865097046","0.6350005865097046"
"12","0.6348636150360107","0.6348636150360107","0.6348636150360107"
"13","0.6322750449180603","0.6322750449180603","0.6322750449180603"
"14","0.6247724890708923","0.6247724890708923","0.6247724890708923"
"15","0.6093606948852539","0.6093606948852539","0.6093606948852539"
"16","0.5852760672569275","0.5852760672569275","0.5852760672569275"
"17","0.555642306804657","0.555642306804657","0.555642306804657"
"18","0.5206230282783508","0.5206230282783508","0.5206230282783508"
"19","0.47183290123939514","0.47183290123939514","0.47183290123939514"
"20","0.4053254723548889","0.4053254723548889","0.4053254723548889"
"21","0.3363999128341675","0.3363999128341675","0.3363999128341675"
"22","0.2783191204071045","0.2783191204071045","0.2783191204071045"
"23","0.2327316552400589","0.2327316552400589","0.2327316552400589"
"24","0.19674299657344818","0.19674299657344818","0.19674299657344818"
"25","0.1679341048002243","0.1679341048002243","0.1679341048002243"
"26","0.14458616077899933","0.14458616077899933","0.14458616077899933"
"27","0.12536203861236572","0.12536203861236572","0.12536203861236572"
"28","0.10928693413734436","0.10928693413734436","0.10928693413734436"
"29","0.09561313688755035","0.09561313688755035","0.09561313688755035"
"30","0.08400694280862808","0.08400694280862808","0.08400694280862808"
"31","0.07412457466125488","0.07412457466125488","0.07412457466125488"
"32","0.0656178742647171","0.0656178742647171","0.0656178742647171"
"33","0.05825582891702652","0.05825582891702652","0.05825582891702652"
"34","0.05184982717037201","0.05184982717037201","0.05184982717037201"
"35","0.0462489016354084","0.0462489016354084","0.0462489016354084"
"36","0.04130009189248085","0.04130009189248085","0.04130009189248085"
"37","0.03697362169623375","0.03697362169623375","0.03697362169623375"
"38","0.033162474632263184","0.033162474632263184","0.033162474632263184"
"39","0.02979390136897564","0.02979390136897564","0.02979390136897564"
"40","0.026806049048900604","0.026806049048900604","0.026806049048900604"
"41","0.02414005622267723","0.02414005622267723","0.02414005622267723"
"42","0.02179023250937462","0.02179023250937462","0.02179023250937462"
"43","0.019671328365802765","0.019671328365802765","0.019671328365802765"
"44","0.017778990790247917","0.017778990790247917","0.017778990790247917"
"45","0.01607474498450756","0.01607474498450756","0.01607474498450756"
"46","0.014551622793078423","0.014551622793078423","0.014551622793078423"
"47","0.013183691538870335","0.013183691538870335","0.013183691538870335"
"48","0.011955685913562775","0.011955685913562775","0.011955685913562775"
"49","0.010847841389477253","0.010847841389477253","0.010847841389477253"
"50","0.009848378598690033","0.009848378598690033","0.009848378598690033"
"51","0.008944378234446049","0.008944378234446049","0.008944378234446049"
"52","0.008129692636430264","0.008129692636430264","0.008129692636430264"
"53","0.007390970829874277","0.007390970829874277","0.007390970829874277"
"54","0.0067209056578576565","0.0067209056578576565","0.0067209056578576565"
"55","0.006113846320658922","0.006113846320658922","0.006113846320658922"
"56","0.005562989506870508","0.005562989506870508","0.005562989506870508"
"57","0.0050619603134691715","0.0050619603134691715","0.0050619603134691715"
"58","0.00460808677598834","0.00460808677598834","0.00460808677598834"
"59","0.004194898996502161","0.004194898996502161","0.004194898996502161"
"60","0.003819606965407729","0.003819606965407729","0.003819606965407729"
"61","0.0034775391686707735","0.0034775391686707735","0.0034775391686707735"
"62","0.003167419694364071","0.003167419694364071","0.003167419694364071"
"63","0.0028855339623987675","0.0028855339623987675","0.0028855339623987675"
"64","0.002629257505759597","0.002629257505759597","0.002629257505759597"
"65","0.0023963977582752705","0.0023963977582752705","0.0023963977582752705"
"66","0.0021838403772562742","0.0021838403772562742","0.0021838403772562742"
"67","0.001990108285099268","0.001990108285099268","0.001990108285099268"
"68","0.0018139061285182834","0.0018139061285182834","0.0018139061285182834"
"69","0.0016534626483917236","0.0016534626483917236","0.0016534626483917236"
"70","0.001507698674686253","0.001507698674686253","0.001507698674686253"
"71","0.0013752974336966872","0.0013752974336966872","0.0013752974336966872"
"72","0.0012542749755084515","0.0012542749755084515","0.0012542749755084515"
"73","0.0011440180242061615","0.0011440180242061615","0.0011440180242061615"
"74","0.0010436208685860038","0.0010436208685860038","0.0010436208685860038"
"75","0.0009522121399641037","0.0009522121399641037","0.0009522121399641037"
"76","0.0008686828659847379","0.0008686828659847379","0.0008686828659847379"
"77","0.0007923395605757833","0.0007923395605757833","0.0007923395605757833"
"78","0.0007232084171846509","0.0007232084171846509","0.0007232084171846509"
"79","0.0006597391329705715","0.0006597391329705715","0.0006597391329705715"
"80","0.0006021506269462407","0.0006021506269462407","0.0006021506269462407"
"81","0.0005494979559443891","0.0005494979559443891","0.0005494979559443891"
"82","0.0005015010829083622","0.0005015010829083622","0.0005015010829083622"
"83","0.0004573487094603479","0.0004573487094603479","0.0004573487094603479"
"84","0.0004174061759840697","0.0004174061759840697","0.0004174061759840697"
"85","0.0003810756606981158","0.0003810756606981158","0.0003810756606981158"
"86","0.0003476768615655601","0.0003476768615655601","0.0003476768615655601"
"87","0.000317433470627293","0.000317433470627293","0.000317433470627293"
"88","0.0002896530204452574","0.0002896530204452574","0.0002896530204452574"
"89","0.0002644113264977932","0.0002644113264977932","0.0002644113264977932"
"90","0.00024138952721841633","0.00024138952721841633","0.00024138952721841633"
"91","0.0002204630000051111","0.0002204630000051111","0.0002204630000051111"
"92","0.00020125355513300747","0.00020125355513300747","0.00020125355513300747"
"93","0.0001839532342273742","0.0001839532342273742","0.0001839532342273742"
"94","0.00016805769701022655","0.00016805769701022655","0.00016805769701022655"
"95","0.0001532132737338543","0.0001532132737338543","0.0001532132737338543"
"96","0.00013985684199724346","0.00013985684199724346","0.00013985684199724346"
"97","0.00012777946540154517","0.00012777946540154517","0.00012777946540154517"
"98","0.00011656151036731899","0.00011656151036731899","0.00011656151036731899"
"99","0.00010647888848325238","0.00010647888848325238","0.00010647888848325238"
"100","0.00009725339623400941","0.00009725339623400941","0.00009725339623400941"
