"Step","Mno_relu_DS10_Osgd_W0.003 - train.NRC1","Mno_relu_DS10_Osgd_W0.003 - train.NRC1__MIN","Mno_relu_DS10_Osgd_W0.003 - train.NRC1__MAX"
"76","0.019228819757699966","0.019228819757699966","0.019228819757699966"
"77","0.017571935430169106","0.017571935430169106","0.017571935430169106"
"78","0.016058454290032387","0.016058454290032387","0.016058454290032387"
"79","0.014673478901386261","0.014673478901386261","0.014673478901386261"
"80","0.013408787548542023","0.013408787548542023","0.013408787548542023"
"81","0.012253203429281712","0.012253203429281712","0.012253203429281712"
"82","0.011197004467248917","0.011197004467248917","0.011197004467248917"
"83","0.010231825523078442","0.010231825523078442","0.010231825523078442"
"84","0.009349876083433628","0.009349876083433628","0.009349876083433628"
"85","0.008544085547327995","0.008544085547327995","0.008544085547327995"
"86","0.007807915098965168","0.007807915098965168","0.007807915098965168"
"87","0.007135640364140272","0.007135640364140272","0.007135640364140272"
"88","0.006521283183246851","0.006521283183246851","0.006521283183246851"
"89","0.005959430709481239","0.005959430709481239","0.005959430709481239"
"90","0.005446292459964752","0.005446292459964752","0.005446292459964752"
"91","0.004977267235517502","0.004977267235517502","0.004977267235517502"
"92","0.004548667464405298","0.004548667464405298","0.004548667464405298"
"93","0.004157486371695995","0.004157486371695995","0.004157486371695995"
"94","0.0038003455847501755","0.0038003455847501755","0.0038003455847501755"
"95","0.003473028540611267","0.003473028540611267","0.003473028540611267"
"96","0.003173533594235778","0.003173533594235778","0.003173533594235778"
"97","0.002899927319958806","0.002899927319958806","0.002899927319958806"
"98","0.002649814821779728","0.002649814821779728","0.002649814821779728"
"99","0.0024218594189733267","0.0024218594189733267","0.0024218594189733267"
"100","0.0022139674983918667","0.0022139674983918667","0.0022139674983918667"
