"Step","Mno_relu_DS10_Osgd_W0.003 - train.NRC1","Mno_relu_DS10_Osgd_W0.003 - train.NRC1__MIN","Mno_relu_DS10_Osgd_W0.003 - train.NRC1__MAX"
"0","88.23825073242188","88.23825073242188","88.23825073242188"
"1","73.59685516357422","73.59685516357422","73.59685516357422"
"2","61.65870666503906","61.65870666503906","61.65870666503906"
"3","51.700767517089844","51.700767517089844","51.700767517089844"
"4","43.401824951171875","43.401824951171875","43.401824951171875"
"5","36.477115631103516","36.477115631103516","36.477115631103516"
"6","30.715299606323242","30.715299606323242","30.715299606323242"
"7","25.932384490966797","25.932384490966797","25.932384490966797"
"8","21.96807098388672","21.96807098388672","21.96807098388672"
"9","18.69239616394043","18.69239616394043","18.69239616394043"
"10","15.991697311401367","15.991697311401367","15.991697311401367"
"11","13.776866912841797","13.776866912841797","13.776866912841797"
"12","11.966864585876465","11.966864585876465","11.966864585876465"
"13","10.497055053710938","10.497055053710938","10.497055053710938"
"14","9.30383014678955","9.30383014678955","9.30383014678955"
"15","8.2965087890625","8.2965087890625","8.2965087890625"
"16","7.380558490753174","7.380558490753174","7.380558490753174"
"17","6.518662929534912","6.518662929534912","6.518662929534912"
"18","5.7358927726745605","5.7358927726745605","5.7358927726745605"
"19","5.043025970458984","5.043025970458984","5.043025970458984"
"20","4.436100006103516","4.436100006103516","4.436100006103516"
"21","3.9039502143859863","3.9039502143859863","3.9039502143859863"
"22","3.437901735305786","3.437901735305786","3.437901735305786"
"23","3.0317115783691406","3.0317115783691406","3.0317115783691406"
"24","2.6788458824157715","2.6788458824157715","2.6788458824157715"
"25","2.372530698776245","2.372530698776245","2.372530698776245"
"26","2.1073520183563232","2.1073520183563232","2.1073520183563232"
"27","1.8780041933059692","1.8780041933059692","1.8780041933059692"
"28","1.6786340475082397","1.6786340475082397","1.6786340475082397"
"29","1.5044646263122559","1.5044646263122559","1.5044646263122559"
"30","1.351441740989685","1.351441740989685","1.351441740989685"
"31","1.216723918914795","1.216723918914795","1.216723918914795"
"32","1.0974704027175903","1.0974704027175903","1.0974704027175903"
"33","0.9917110204696655","0.9917110204696655","0.9917110204696655"
"34","0.8975540995597839","0.8975540995597839","0.8975540995597839"
"35","0.8134067058563232","0.8134067058563232","0.8134067058563232"
"36","0.7378684878349304","0.7378684878349304","0.7378684878349304"
"37","0.6698954105377197","0.6698954105377197","0.6698954105377197"
"38","0.6087624430656433","0.6087624430656433","0.6087624430656433"
"39","0.5537093281745911","0.5537093281745911","0.5537093281745911"
"40","0.5039705634117126","0.5039705634117126","0.5039705634117126"
"41","0.45896098017692566","0.45896098017692566","0.45896098017692566"
"42","0.41826319694519043","0.41826319694519043","0.41826319694519043"
"43","0.381376713514328","0.381376713514328","0.381376713514328"
"44","0.34784919023513794","0.34784919023513794","0.34784919023513794"
"45","0.31734567880630493","0.31734567880630493","0.31734567880630493"
"46","0.289596825838089","0.289596825838089","0.289596825838089"
"47","0.26432865858078003","0.26432865858078003","0.26432865858078003"
"48","0.2413124293088913","0.2413124293088913","0.2413124293088913"
"49","0.22033274173736572","0.22033274173736572","0.22033274173736572"
"50","0.20120210945606232","0.20120210945606232","0.20120210945606232"
"51","0.1837625503540039","0.1837625503540039","0.1837625503540039"
"52","0.1678311675786972","0.1678311675786972","0.1678311675786972"
"53","0.153282031416893","0.153282031416893","0.153282031416893"
"54","0.14000919461250305","0.14000919461250305","0.14000919461250305"
"55","0.12789857387542725","0.12789857387542725","0.12789857387542725"
"56","0.1168411374092102","0.1168411374092102","0.1168411374092102"
"57","0.10674174875020981","0.10674174875020981","0.10674174875020981"
"58","0.09751588106155396","0.09751588106155396","0.09751588106155396"
"59","0.08909493684768677","0.08909493684768677","0.08909493684768677"
"60","0.0814015343785286","0.0814015343785286","0.0814015343785286"
"61","0.07437309622764587","0.07437309622764587","0.07437309622764587"
"62","0.06795399636030197","0.06795399636030197","0.06795399636030197"
"63","0.06209244579076767","0.06209244579076767","0.06209244579076767"
"64","0.056738171726465225","0.056738171726465225","0.056738171726465225"
"65","0.051844045519828796","0.051844045519828796","0.051844045519828796"
"66","0.047370776534080505","0.047370776534080505","0.047370776534080505"
"67","0.04328502342104912","0.04328502342104912","0.04328502342104912"
"68","0.03955179452896118","0.03955179452896118","0.03955179452896118"
"69","0.036141782999038696","0.036141782999038696","0.036141782999038696"
"70","0.03302590548992157","0.03302590548992157","0.03302590548992157"
"71","0.030179519206285477","0.030179519206285477","0.030179519206285477"
"72","0.027577025815844536","0.027577025815844536","0.027577025815844536"
"73","0.02519853599369526","0.02519853599369526","0.02519853599369526"
"74","0.023026734590530396","0.023026734590530396","0.023026734590530396"
"75","0.021042175590991974","0.021042175590991974","0.021042175590991974"
