"Step","Mno_relu_DS10_Osgd_W0.003 - train_mse_loss","Mno_relu_DS10_Osgd_W0.003 - train_mse_loss__MIN","Mno_relu_DS10_Osgd_W0.003 - train_mse_loss__MAX"
"1","0.0014265760546550155","0.0014265760546550155","0.0014265760546550155"
"2","0.0012764635612256825","0.0012764635612256825","0.0012764635612256825"
"3","0.0012290470185689628","0.0012290470185689628","0.0012290470185689628"
"4","0.0012351476470939815","0.0012351476470939815","0.0012351476470939815"
"5","0.0012555693974718451","0.0012555693974718451","0.0012555693974718451"
"6","0.001287466671783477","0.001287466671783477","0.001287466671783477"
"7","0.0013256795355118811","0.0013256795355118811","0.0013256795355118811"
"8","0.0013652825145982206","0.0013652825145982206","0.0013652825145982206"
"9","0.0014097600942477584","0.0014097600942477584","0.0014097600942477584"
"10","0.001457823731470853","0.001457823731470853","0.001457823731470853"
"11","0.0014993829536251724","0.0014993829536251724","0.0014993829536251724"
"12","0.0015396189992316067","0.0015396189992316067","0.0015396189992316067"
"13","0.0015832053031772375","0.0015832053031772375","0.0015832053031772375"
"14","0.0016183751868084073","0.0016183751868084073","0.0016183751868084073"
"15","0.001660591282416135","0.001660591282416135","0.001660591282416135"
"16","0.0016925731906667352","0.0016925731906667352","0.0016925731906667352"
"17","0.001726468384731561","0.001726468384731561","0.001726468384731561"
"18","0.0017548173782415688","0.0017548173782415688","0.0017548173782415688"
"19","0.0017835386679507792","0.0017835386679507792","0.0017835386679507792"
"20","0.001814545423258096","0.001814545423258096","0.001814545423258096"
"21","0.0018376329680904746","0.0018376329680904746","0.0018376329680904746"
"22","0.0018637542380020022","0.0018637542380020022","0.0018637542380020022"
"23","0.0018788284505717456","0.0018788284505717456","0.0018788284505717456"
"24","0.0019002477638423443","0.0019002477638423443","0.0019002477638423443"
"25","0.0019191542523913085","0.0019191542523913085","0.0019191542523913085"
"26","0.0019407401559874415","0.0019407401559874415","0.0019407401559874415"
"27","0.0019568586139939725","0.0019568586139939725","0.0019568586139939725"
"28","0.001979268970899284","0.001979268970899284","0.001979268970899284"
"29","0.00198397075291723","0.00198397075291723","0.00198397075291723"
"30","0.001998183550313115","0.001998183550313115","0.001998183550313115"
"31","0.0020223629544489086","0.0020223629544489086","0.0020223629544489086"
"32","0.002028455608524382","0.002028455608524382","0.002028455608524382"
"33","0.0020355788874439895","0.0020355788874439895","0.0020355788874439895"
"34","0.0020488930167630315","0.0020488930167630315","0.0020488930167630315"
"35","0.0020551569759845734","0.0020551569759845734","0.0020551569759845734"
"36","0.002066603396087885","0.002066603396087885","0.002066603396087885"
"37","0.0020732275443151593","0.0020732275443151593","0.0020732275443151593"
"38","0.002078297547996044","0.002078297547996044","0.002078297547996044"
"39","0.002088232897222042","0.002088232897222042","0.002088232897222042"
"40","0.0020920795504935086","0.0020920795504935086","0.0020920795504935086"
"41","0.0021013427758589387","0.0021013427758589387","0.0021013427758589387"
"42","0.0021056797122582793","0.0021056797122582793","0.0021056797122582793"
"43","0.0021108107175678015","0.0021108107175678015","0.0021108107175678015"
"44","0.00211629387922585","0.00211629387922585","0.00211629387922585"
"45","0.0021209996193647385","0.0021209996193647385","0.0021209996193647385"
"46","0.00212053389986977","0.00212053389986977","0.00212053389986977"
"47","0.0021287661511451006","0.0021287661511451006","0.0021287661511451006"
"48","0.0021375276846811175","0.0021375276846811175","0.0021375276846811175"
"49","0.0021418571704998612","0.0021418571704998612","0.0021418571704998612"
"50","0.002144805621355772","0.002144805621355772","0.002144805621355772"
"51","0.002148460247553885","0.002148460247553885","0.002148460247553885"
"52","0.0021507111378014088","0.0021507111378014088","0.0021507111378014088"
"53","0.0021553855622187257","0.0021553855622187257","0.0021553855622187257"
"54","0.002152575529180467","0.002152575529180467","0.002152575529180467"
"55","0.0021546795032918453","0.0021546795032918453","0.0021546795032918453"
"56","0.002161601325497031","0.002161601325497031","0.002161601325497031"
