"NRC3_old","_defaultColorIndex","epoch","id","lamW","name"
"0.4966236608098812","11","0","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.48412819911581295","11","1","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.4712420286030602","11","2","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.4557587927649875","11","3","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.4376329958990541","11","4","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.4174200759198636","11","5","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.3959627007256114","11","6","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.37417953881197813","11","7","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.3527463253938947","11","8","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.332023424597756","11","9","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.3124337508846049","11","10","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.2942535856012203","11","11","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.2775750975665486","11","12","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.2622195844356729","11","13","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.24822268962932506","11","14","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.23538077151669418","11","15","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.2235008941747892","11","16","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.21232859084470612","11","17","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.2017818752189072","11","18","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
"0.19178964498476006","11","19","c6ba1350-c9db-4214-b60b-38d72ceffc28","0.003","Mno_relu_DS10_Osgd_W0.003"
