"Step","Eswimmer_Mnull_DS1000_W0_lr0.01 - train.proj_error_H2W","Eswimmer_Mnull_DS1000_W0_lr0.01 - train.proj_error_H2W__MIN","Eswimmer_Mnull_DS1000_W0_lr0.01 - train.proj_error_H2W__MAX"
"0","0.007313934154808521","0.007313934154808521","0.007313934154808521"
"1","0.017188789322972298","0.017188789322972298","0.017188789322972298"
"2","0.018161160871386528","0.018161160871386528","0.018161160871386528"
"3","0.01943676359951496","0.01943676359951496","0.01943676359951496"
"4","0.021208545193076134","0.021208545193076134","0.021208545193076134"
"5","0.023227298632264137","0.023227298632264137","0.023227298632264137"
"6","0.02502230554819107","0.02502230554819107","0.02502230554819107"
"7","0.026409637182950974","0.026409637182950974","0.026409637182950974"
"8","0.027466464787721634","0.027466464787721634","0.027466464787721634"
"9","0.028264541178941727","0.028264541178941727","0.028264541178941727"
"10","0.02884818986058235","0.02884818986058235","0.02884818986058235"
"11","0.029283393174409866","0.029283393174409866","0.029283393174409866"
"12","0.029644595459103584","0.029644595459103584","0.029644595459103584"
"13","0.029914462938904762","0.029914462938904762","0.029914462938904762"
"14","0.030141368508338928","0.030141368508338928","0.030141368508338928"
"15","0.03027891181409359","0.03027891181409359","0.03027891181409359"
"16","0.030452009290456772","0.030452009290456772","0.030452009290456772"
"17","0.030580323189496994","0.030580323189496994","0.030580323189496994"
"18","0.030689969658851624","0.030689969658851624","0.030689969658851624"
"19","0.030757972970604897","0.030757972970604897","0.030757972970604897"
"20","0.03082665055990219","0.03082665055990219","0.03082665055990219"
"21","0.030893586575984955","0.030893586575984955","0.030893586575984955"
"22","0.030872875824570656","0.030872875824570656","0.030872875824570656"
"23","0.03085547313094139","0.03085547313094139","0.03085547313094139"
"24","0.030836163088679314","0.030836163088679314","0.030836163088679314"
"25","0.03085356391966343","0.03085356391966343","0.03085356391966343"
"26","0.030877310782670975","0.030877310782670975","0.030877310782670975"
"27","0.03090951219201088","0.03090951219201088","0.03090951219201088"
"28","0.030964436009526253","0.030964436009526253","0.030964436009526253"
"29","0.03099227324128151","0.03099227324128151","0.03099227324128151"
"30","0.030977843329310417","0.030977843329310417","0.030977843329310417"
"31","0.030993301421403885","0.030993301421403885","0.030993301421403885"
"32","0.030995475128293037","0.030995475128293037","0.030995475128293037"
"33","0.030996602028608322","0.030996602028608322","0.030996602028608322"
"34","0.031001197174191475","0.031001197174191475","0.031001197174191475"
"35","0.031028378754854202","0.031028378754854202","0.031028378754854202"
"36","0.031088579446077347","0.031088579446077347","0.031088579446077347"
"37","0.03111044317483902","0.03111044317483902","0.03111044317483902"
"38","0.031161939725279808","0.031161939725279808","0.031161939725279808"
"39","0.031210381537675858","0.031210381537675858","0.031210381537675858"
"40","0.031172653660178185","0.031172653660178185","0.031172653660178185"
"41","0.031216448172926903","0.031216448172926903","0.031216448172926903"
"42","0.03120872937142849","0.03120872937142849","0.03120872937142849"
"43","0.03122892417013645","0.03122892417013645","0.03122892417013645"
"44","0.0312567874789238","0.0312567874789238","0.0312567874789238"
"45","0.031224943697452545","0.031224943697452545","0.031224943697452545"
"46","0.03125998377799988","0.03125998377799988","0.03125998377799988"
"47","0.03126176446676254","0.03126176446676254","0.03126176446676254"
"48","0.03124189004302025","0.03124189004302025","0.03124189004302025"
"49","0.031245671212673187","0.031245671212673187","0.031245671212673187"
"50","0.031246816739439964","0.031246816739439964","0.031246816739439964"
"51","0.031243080273270607","0.031243080273270607","0.031243080273270607"
"52","0.031218018382787704","0.031218018382787704","0.031218018382787704"
"53","0.03125152736902237","0.03125152736902237","0.03125152736902237"
"54","0.03122437745332718","0.03122437745332718","0.03122437745332718"
"55","0.031215518712997437","0.031215518712997437","0.031215518712997437"
"56","0.03123783878982067","0.03123783878982067","0.03123783878982067"
"57","0.03116121143102646","0.03116121143102646","0.03116121143102646"
"58","0.031160976737737656","0.031160976737737656","0.031160976737737656"
"59","0.03111802600324154","0.03111802600324154","0.03111802600324154"
"60","0.031101947650313377","0.031101947650313377","0.031101947650313377"
"61","0.031104495748877525","0.031104495748877525","0.031104495748877525"
"62","0.031099462881684303","0.031099462881684303","0.031099462881684303"
"63","0.031117858365178108","0.031117858365178108","0.031117858365178108"
"64","0.03107628785073757","0.03107628785073757","0.03107628785073757"
"65","0.031101735308766365","0.031101735308766365","0.031101735308766365"
"66","0.031056690961122513","0.031056690961122513","0.031056690961122513"
"67","0.03107292950153351","0.03107292950153351","0.03107292950153351"
"68","0.031065931543707848","0.031065931543707848","0.031065931543707848"
"69","0.031041007488965988","0.031041007488965988","0.031041007488965988"
"70","0.031037095934152603","0.031037095934152603","0.031037095934152603"
"71","0.03104392997920513","0.03104392997920513","0.03104392997920513"
"72","0.031078899279236794","0.031078899279236794","0.031078899279236794"
"73","0.031062999740242958","0.031062999740242958","0.031062999740242958"
"74","0.03110133297741413","0.03110133297741413","0.03110133297741413"
"75","0.031090958043932915","0.031090958043932915","0.031090958043932915"
"76","0.031048981472849846","0.031048981472849846","0.031048981472849846"
"77","0.03111669234931469","0.03111669234931469","0.03111669234931469"
"78","0.031111784279346466","0.031111784279346466","0.031111784279346466"
"79","0.031164664775133133","0.031164664775133133","0.031164664775133133"
"80","0.03115151636302471","0.03115151636302471","0.03115151636302471"
