"Step","Eswimmer_Mnull_DS1000_W0_lr0.01 - train.NRC1","Eswimmer_Mnull_DS1000_W0_lr0.01 - train.NRC1__MIN","Eswimmer_Mnull_DS1000_W0_lr0.01 - train.NRC1__MAX"
"0","1.3790313324774761","1.3790313324774761","1.3790313324774761"
"1","1.671073748488212","1.671073748488212","1.671073748488212"
"2","1.7250510074774648","1.7250510074774648","1.7250510074774648"
"3","1.8706816215405853","1.8706816215405853","1.8706816215405853"
"4","2.0256417210592335","2.0256417210592335","2.0256417210592335"
"5","2.182008617524058","2.182008617524058","2.182008617524058"
"6","2.3319389253836706","2.3319389253836706","2.3319389253836706"
"7","2.4706293005211193","2.4706293005211193","2.4706293005211193"
"8","2.6044750368744136","2.6044750368744136","2.6044750368744136"
"9","2.7341336901923787","2.7341336901923787","2.7341336901923787"
"10","2.8363368944479737","2.8363368944479737","2.8363368944479737"
"11","2.943823287532723","2.943823287532723","2.943823287532723"
"12","3.048162532565708","3.048162532565708","3.048162532565708"
"13","3.1489353696158067","3.1489353696158067","3.1489353696158067"
"14","3.2383295381121715","3.2383295381121715","3.2383295381121715"
"15","3.317575695919004","3.317575695919004","3.317575695919004"
"16","3.389915014012018","3.389915014012018","3.389915014012018"
"17","3.468397763916815","3.468397763916815","3.468397763916815"
"18","3.534295787204115","3.534295787204115","3.534295787204115"
"19","3.5968100941521697","3.5968100941521697","3.5968100941521697"
"20","3.656244596132077","3.656244596132077","3.656244596132077"
"21","3.711633350991542","3.711633350991542","3.711633350991542"
"22","3.7786900203687983","3.7786900203687983","3.7786900203687983"
"23","3.818976815142101","3.818976815142101","3.818976815142101"
"24","3.8558910329332723","3.8558910329332723","3.8558910329332723"
"25","3.8906192102726926","3.8906192102726926","3.8906192102726926"
"26","3.938796800051874","3.938796800051874","3.938796800051874"
"27","3.967788369156202","3.967788369156202","3.967788369156202"
"28","4.003697818651795","4.003697818651795","4.003697818651795"
"29","4.037074791413033","4.037074791413033","4.037074791413033"
"30","4.073122853424924","4.073122853424924","4.073122853424924"
"31","4.087033233095485","4.087033233095485","4.087033233095485"
"32","4.11781314395048","4.11781314395048","4.11781314395048"
"33","4.138524843477702","4.138524843477702","4.138524843477702"
"34","4.158926367200969","4.158926367200969","4.158926367200969"
"35","4.176670681879855","4.176670681879855","4.176670681879855"
"36","4.192428132180124","4.192428132180124","4.192428132180124"
"37","4.222317549319996","4.222317549319996","4.222317549319996"
"38","4.237640284247755","4.237640284247755","4.237640284247755"
"39","4.247322574528458","4.247322574528458","4.247322574528458"
"40","4.281828767258907","4.281828767258907","4.281828767258907"
"41","4.285882513156684","4.285882513156684","4.285882513156684"
"42","4.31003990466916","4.31003990466916","4.31003990466916"
"43","4.302793265730666","4.302793265730666","4.302793265730666"
"44","4.3086155293965716","4.3086155293965716","4.3086155293965716"
"45","4.331593456985953","4.331593456985953","4.331593456985953"
"46","4.329925550362328","4.329925550362328","4.329925550362328"
"47","4.3353843436372115","4.3353843436372115","4.3353843436372115"
"48","4.357468446489657","4.357468446489657","4.357468446489657"
"49","4.360956242982298","4.360956242982298","4.360956242982298"
"50","4.372589281392342","4.372589281392342","4.372589281392342"
"51","4.380007536113495","4.380007536113495","4.380007536113495"
"52","4.382933564310951","4.382933564310951","4.382933564310951"
"53","4.377795230986608","4.377795230986608","4.377795230986608"
"54","4.383274004518986","4.383274004518986","4.383274004518986"
"55","4.394946867653693","4.394946867653693","4.394946867653693"
"56","4.384386336049589","4.384386336049589","4.384386336049589"
"57","4.399337175283814","4.399337175283814","4.399337175283814"
"58","4.396195236379804","4.396195236379804","4.396195236379804"
"59","4.402815360168228","4.402815360168228","4.402815360168228"
"60","4.401345365811372","4.401345365811372","4.401345365811372"
"61","4.397463007729733","4.397463007729733","4.397463007729733"
"62","4.3938392658913505","4.3938392658913505","4.3938392658913505"
"63","4.3900289686033505","4.3900289686033505","4.3900289686033505"
"64","4.401728026662022","4.401728026662022","4.401728026662022"
"65","4.393022056558169","4.393022056558169","4.393022056558169"
"66","4.42552405853034","4.42552405853034","4.42552405853034"
"67","4.426995038949477","4.426995038949477","4.426995038949477"
"68","4.426597068437899","4.426597068437899","4.426597068437899"
"69","4.427131083992368","4.427131083992368","4.427131083992368"
"70","4.440331287910289","4.440331287910289","4.440331287910289"
"71","4.449666178565531","4.449666178565531","4.449666178565531"
"72","4.428538359078171","4.428538359078171","4.428538359078171"
"73","4.449295688874612","4.449295688874612","4.449295688874612"
"74","4.445936540141702","4.445936540141702","4.445936540141702"
"75","4.45009979323257","4.45009979323257","4.45009979323257"
"76","4.479156189836795","4.479156189836795","4.479156189836795"
"77","4.4685948659295684","4.4685948659295684","4.4685948659295684"
"78","4.478904973898083","4.478904973898083","4.478904973898083"
"79","4.479658642849186","4.479658642849186","4.479658642849186"
"80","4.496358741445059","4.496358741445059","4.496358741445059"
"81","4.4897667868922","4.4897667868922","4.4897667868922"
"82","4.4988709905112625","4.4988709905112625","4.4988709905112625"
"83","4.4905745399007575","4.4905745399007575","4.4905745399007575"
"84","4.513033531874011","4.513033531874011","4.513033531874011"
"85","4.517924449467158","4.517924449467158","4.517924449467158"
"86","4.525183675887296","4.525183675887296","4.525183675887296"
"87","4.527898018952692","4.527898018952692","4.527898018952692"
"88","4.5309284907463585","4.5309284907463585","4.5309284907463585"
"89","4.53241893863678","4.53241893863678","4.53241893863678"
"90","4.545639272005297","4.545639272005297","4.545639272005297"
"91","4.550626049889485","4.550626049889485","4.550626049889485"
"92","4.571362876126135","4.571362876126135","4.571362876126135"
"93","4.572736138705165","4.572736138705165","4.572736138705165"
"94","4.582170894432405","4.582170894432405","4.582170894432405"
"95","4.561269387010485","4.561269387010485","4.561269387010485"
"96","4.569295633135422","4.569295633135422","4.569295633135422"
"97","4.587178698638687","4.587178698638687","4.587178698638687"
"98","4.596032468939724","4.596032468939724","4.596032468939724"
"99","4.614735785020108","4.614735785020108","4.614735785020108"
"100","4.603976375361031","4.603976375361031","4.603976375361031"
"101","4.631287842458638","4.631287842458638","4.631287842458638"
"102","4.615259261512198","4.615259261512198","4.615259261512198"
"103","4.602606711007888","4.602606711007888","4.602606711007888"
"104","4.617103586497775","4.617103586497775","4.617103586497775"
"105","4.61370032195095","4.61370032195095","4.61370032195095"
"106","4.632246349100024","4.632246349100024","4.632246349100024"
"107","4.638185484465735","4.638185484465735","4.638185484465735"
"108","4.640206925338367","4.640206925338367","4.640206925338367"
"109","4.6459774683872235","4.6459774683872235","4.6459774683872235"
"110","4.647569937508612","4.647569937508612","4.647569937508612"
"111","4.659636206961295","4.659636206961295","4.659636206961295"
"112","4.661788376751414","4.661788376751414","4.661788376751414"
"113","4.677176363300591","4.677176363300591","4.677176363300591"
"114","4.671213351428102","4.671213351428102","4.671213351428102"
"115","4.6779016564621125","4.6779016564621125","4.6779016564621125"
"116","4.6799056362940465","4.6799056362940465","4.6799056362940465"
"117","4.698611315936781","4.698611315936781","4.698611315936781"
"118","4.695580684226239","4.695580684226239","4.695580684226239"
"119","4.688321813995077","4.688321813995077","4.688321813995077"
"120","4.707035914150125","4.707035914150125","4.707035914150125"
"121","4.7164834406325244","4.7164834406325244","4.7164834406325244"
"122","4.6924370975071215","4.6924370975071215","4.6924370975071215"
"123","4.72091090444714","4.72091090444714","4.72091090444714"
"124","4.71883212760929","4.71883212760929","4.71883212760929"
"125","4.707270416528976","4.707270416528976","4.707270416528976"
"126","4.716018174451834","4.716018174451834","4.716018174451834"
"127","4.7281959991115725","4.7281959991115725","4.7281959991115725"
"128","4.7148289158977565","4.7148289158977565","4.7148289158977565"
"129","4.736895957730303","4.736895957730303","4.736895957730303"
"130","4.714123814030609","4.714123814030609","4.714123814030609"
"131","4.730839361214079","4.730839361214079","4.730839361214079"
"132","4.736297369563545","4.736297369563545","4.736297369563545"
"133","4.748125963368453","4.748125963368453","4.748125963368453"
"134","4.75359813975083","4.75359813975083","4.75359813975083"
"135","4.750812752077414","4.750812752077414","4.750812752077414"
"136","4.767408786737884","4.767408786737884","4.767408786737884"
"137","4.756543249285081","4.756543249285081","4.756543249285081"
"138","4.770128425324568","4.770128425324568","4.770128425324568"
"139","4.763116476619849","4.763116476619849","4.763116476619849"
"140","4.773503498808481","4.773503498808481","4.773503498808481"
"141","4.797204707522178","4.797204707522178","4.797204707522178"
"142","4.783897612715373","4.783897612715373","4.783897612715373"
"143","4.787754767477512","4.787754767477512","4.787754767477512"
"144","4.796294801055978","4.796294801055978","4.796294801055978"
"145","4.796240906864638","4.796240906864638","4.796240906864638"
"146","4.794223791102471","4.794223791102471","4.794223791102471"
"147","4.7858249402055515","4.7858249402055515","4.7858249402055515"
"148","4.801417187300103","4.801417187300103","4.801417187300103"
"149","4.796954236855323","4.796954236855323","4.796954236855323"
"150","4.802687107735314","4.802687107735314","4.802687107735314"
"151","4.77451245794358","4.77451245794358","4.77451245794358"
"152","4.813896327099064","4.813896327099064","4.813896327099064"
"153","4.796534686718136","4.796534686718136","4.796534686718136"
"154","4.828447342292405","4.828447342292405","4.828447342292405"
"155","4.828488693610358","4.828488693610358","4.828488693610358"
"156","4.824267531938443","4.824267531938443","4.824267531938443"
"157","4.814115478233958","4.814115478233958","4.814115478233958"
"158","4.845838973581791","4.845838973581791","4.845838973581791"
"159","4.84508590605628","4.84508590605628","4.84508590605628"
"160","4.846248989813263","4.846248989813263","4.846248989813263"
"161","4.850545643065358","4.850545643065358","4.850545643065358"
"162","4.845037048971804","4.845037048971804","4.845037048971804"
"163","4.842091209695732","4.842091209695732","4.842091209695732"
"164","4.860379640748783","4.860379640748783","4.860379640748783"
"165","4.846521989513713","4.846521989513713","4.846521989513713"
"166","4.841567763878265","4.841567763878265","4.841567763878265"
"167","4.872584688684961","4.872584688684961","4.872584688684961"
"168","4.858731972500915","4.858731972500915","4.858731972500915"
"169","4.849835777778411","4.849835777778411","4.849835777778411"
"170","4.852526739483932","4.852526739483932","4.852526739483932"
"171","4.872618772680929","4.872618772680929","4.872618772680929"
"172","4.841150513950794","4.841150513950794","4.841150513950794"
"173","4.840862802464747","4.840862802464747","4.840862802464747"
"174","4.862228680453321","4.862228680453321","4.862228680453321"
"175","4.866052349843318","4.866052349843318","4.866052349843318"
"176","4.886618188175431","4.886618188175431","4.886618188175431"
"177","4.86172648989415","4.86172648989415","4.86172648989415"
"178","4.872791324739868","4.872791324739868","4.872791324739868"
"179","4.8473941529132425","4.8473941529132425","4.8473941529132425"
"180","4.860205181050638","4.860205181050638","4.860205181050638"
"181","4.853057155282295","4.853057155282295","4.853057155282295"
"182","4.858570305450121","4.858570305450121","4.858570305450121"
"183","4.881734125894087","4.881734125894087","4.881734125894087"
"184","4.8584884093520815","4.8584884093520815","4.8584884093520815"
"185","4.8588170615027195","4.8588170615027195","4.8588170615027195"
"186","4.871386498966254","4.871386498966254","4.871386498966254"
"187","4.864842192282959","4.864842192282959","4.864842192282959"
"188","4.863834374696249","4.863834374696249","4.863834374696249"
"189","4.8783753516608845","4.8783753516608845","4.8783753516608845"
"190","4.86544991310779","4.86544991310779","4.86544991310779"
"191","4.82918533089105","4.82918533089105","4.82918533089105"
"192","4.877544097606092","4.877544097606092","4.877544097606092"
"193","4.876888735693006","4.876888735693006","4.876888735693006"
"194","4.871568614307849","4.871568614307849","4.871568614307849"
"195","4.876639390041179","4.876639390041179","4.876639390041179"
"196","4.884220640234707","4.884220640234707","4.884220640234707"
"197","4.862324440071883","4.862324440071883","4.862324440071883"
"198","4.888233238382323","4.888233238382323","4.888233238382323"
"199","4.855798984766937","4.855798984766937","4.855798984766937"
"200","4.868764841376105","4.868764841376105","4.868764841376105"
"201","4.862910722295055","4.862910722295055","4.862910722295055"
"202","4.8935944714863435","4.8935944714863435","4.8935944714863435"
"203","4.878664175738173","4.878664175738173","4.878664175738173"
"204","4.90175934368564","4.90175934368564","4.90175934368564"
"205","4.8881318898687605","4.8881318898687605","4.8881318898687605"
"206","4.879140594281489","4.879140594281489","4.879140594281489"
"207","4.905508749560453","4.905508749560453","4.905508749560453"
"208","4.889769597144856","4.889769597144856","4.889769597144856"
"209","4.875307523380558","4.875307523380558","4.875307523380558"
"210","4.906073047556914","4.906073047556914","4.906073047556914"
"211","4.902837324678898","4.902837324678898","4.902837324678898"
"212","4.886752587722207","4.886752587722207","4.886752587722207"
"213","4.911450468266616","4.911450468266616","4.911450468266616"
"214","4.897131462425226","4.897131462425226","4.897131462425226"
"215","4.899395465424517","4.899395465424517","4.899395465424517"
"216","4.909107774436066","4.909107774436066","4.909107774436066"
"217","4.885248698175477","4.885248698175477","4.885248698175477"
"218","4.88076187053934","4.88076187053934","4.88076187053934"
"219","4.899364492042514","4.899364492042514","4.899364492042514"
"220","4.893611550170986","4.893611550170986","4.893611550170986"
"221","4.917100465000607","4.917100465000607","4.917100465000607"
"222","4.904550158616679","4.904550158616679","4.904550158616679"
"223","4.918953840494156","4.918953840494156","4.918953840494156"
"224","4.90461854996212","4.90461854996212","4.90461854996212"
"225","4.909367570981616","4.909367570981616","4.909367570981616"
"226","4.910362986799388","4.910362986799388","4.910362986799388"
"227","4.930424277577549","4.930424277577549","4.930424277577549"
"228","4.91203542697482","4.91203542697482","4.91203542697482"
"229","4.930606421694392","4.930606421694392","4.930606421694392"
"230","4.929182572932972","4.929182572932972","4.929182572932972"
"231","4.938602647284279","4.938602647284279","4.938602647284279"
"232","4.940582337901928","4.940582337901928","4.940582337901928"
"233","4.91269849358598","4.91269849358598","4.91269849358598"
"234","4.945130908303894","4.945130908303894","4.945130908303894"
"235","4.935969394382322","4.935969394382322","4.935969394382322"
"236","4.935243657820917","4.935243657820917","4.935243657820917"
"237","4.932936020135879","4.932936020135879","4.932936020135879"
"238","4.945097644651833","4.945097644651833","4.945097644651833"
"239","4.9370983048487105","4.9370983048487105","4.9370983048487105"
"240","4.945285424799659","4.945285424799659","4.945285424799659"
"241","4.929110796686495","4.929110796686495","4.929110796686495"
"242","4.938324921776133","4.938324921776133","4.938324921776133"
"243","4.92768287939491","4.92768287939491","4.92768287939491"
"244","4.949494781475747","4.949494781475747","4.949494781475747"
"245","4.950340732611949","4.950340732611949","4.950340732611949"
"246","4.963592296013667","4.963592296013667","4.963592296013667"
"247","4.9534009309718385","4.9534009309718385","4.9534009309718385"
"248","4.9748724731840195","4.9748724731840195","4.9748724731840195"
"249","4.9562031836878155","4.9562031836878155","4.9562031836878155"
"250","4.963209594881686","4.963209594881686","4.963209594881686"
"251","4.978419331594429","4.978419331594429","4.978419331594429"
"252","4.968424628991692","4.968424628991692","4.968424628991692"
"253","4.959920693594089","4.959920693594089","4.959920693594089"
"254","4.957797459445952","4.957797459445952","4.957797459445952"
"255","4.968587037926772","4.968587037926772","4.968587037926772"
"256","4.9687182576805355","4.9687182576805355","4.9687182576805355"
"257","4.970449014748505","4.970449014748505","4.970449014748505"
"258","4.959208241991932","4.959208241991932","4.959208241991932"
"259","4.9633074187673625","4.9633074187673625","4.9633074187673625"
"260","4.992320757877314","4.992320757877314","4.992320757877314"
"261","4.957664235213364","4.957664235213364","4.957664235213364"
"262","4.988623455259949","4.988623455259949","4.988623455259949"
"263","4.959751978711225","4.959751978711225","4.959751978711225"
"264","4.992527761068428","4.992527761068428","4.992527761068428"
"265","4.992446899936127","4.992446899936127","4.992446899936127"
"266","4.979295745629409","4.979295745629409","4.979295745629409"
"267","4.976127453698078","4.976127453698078","4.976127453698078"
"268","4.964055642127991","4.964055642127991","4.964055642127991"
"269","4.990041850247421","4.990041850247421","4.990041850247421"
"270","5.000347428381443","5.000347428381443","5.000347428381443"
"271","4.976597843087802","4.976597843087802","4.976597843087802"
"272","4.9980105943812525","4.9980105943812525","4.9980105943812525"
"273","4.982303487316007","4.982303487316007","4.982303487316007"
"274","4.990149639263749","4.990149639263749","4.990149639263749"
"275","4.992581668853759","4.992581668853759","4.992581668853759"
"276","5.002274702349911","5.002274702349911","5.002274702349911"
"277","5.0124319320908395","5.0124319320908395","5.0124319320908395"
"278","4.993949945874105","4.993949945874105","4.993949945874105"
"279","5.013452867424348","5.013452867424348","5.013452867424348"
"280","4.993273870676989","4.993273870676989","4.993273870676989"
"281","4.997985783285054","4.997985783285054","4.997985783285054"
"282","5.014141112121812","5.014141112121812","5.014141112121812"
"283","5.008949650414346","5.008949650414346","5.008949650414346"
"284","5.0101786799007675","5.0101786799007675","5.0101786799007675"
"285","5.007180890222604","5.007180890222604","5.007180890222604"
"286","5.000527622471622","5.000527622471622","5.000527622471622"
"287","5.006905561880209","5.006905561880209","5.006905561880209"
"288","4.99805805925862","4.99805805925862","4.99805805925862"
"289","5.005169548117555","5.005169548117555","5.005169548117555"
"290","5.028186421418155","5.028186421418155","5.028186421418155"
"291","5.02845692411816","5.02845692411816","5.02845692411816"
"292","5.035431912567059","5.035431912567059","5.035431912567059"
"293","5.009269313172496","5.009269313172496","5.009269313172496"
"294","5.035201284019509","5.035201284019509","5.035201284019509"
"295","5.024118938441912","5.024118938441912","5.024118938441912"
"296","5.038925552205707","5.038925552205707","5.038925552205707"
"297","5.015464792385697","5.015464792385697","5.015464792385697"
"298","5.051458895271702","5.051458895271702","5.051458895271702"
"299","5.033686629664211","5.033686629664211","5.033686629664211"
"300","5.034653427050449","5.034653427050449","5.034653427050449"
"301","5.040387912258098","5.040387912258098","5.040387912258098"
"302","5.023107732106233","5.023107732106233","5.023107732106233"
"303","5.04899196514138","5.04899196514138","5.04899196514138"
"304","5.024929058432812","5.024929058432812","5.024929058432812"
"305","5.048016203066567","5.048016203066567","5.048016203066567"
"306","5.04436768873129","5.04436768873129","5.04436768873129"
"307","5.061929714803177","5.061929714803177","5.061929714803177"
"308","5.043421631702746","5.043421631702746","5.043421631702746"
"309","5.056664738431573","5.056664738431573","5.056664738431573"
"310","5.048277481222118","5.048277481222118","5.048277481222118"
"311","5.064406318523921","5.064406318523921","5.064406318523921"
"312","5.075297091194429","5.075297091194429","5.075297091194429"
"313","5.076665783453791","5.076665783453791","5.076665783453791"
"314","5.046800969065226","5.046800969065226","5.046800969065226"
"315","5.054252946607827","5.054252946607827","5.054252946607827"
"316","5.078034660240868","5.078034660240868","5.078034660240868"
"317","5.067778556561621","5.067778556561621","5.067778556561621"
"318","5.055764182057464","5.055764182057464","5.055764182057464"
"319","5.074925325803692","5.074925325803692","5.074925325803692"
"320","5.048939922116929","5.048939922116929","5.048939922116929"
"321","5.066948697267159","5.066948697267159","5.066948697267159"
"322","5.071827810407616","5.071827810407616","5.071827810407616"
"323","5.081803014187666","5.081803014187666","5.081803014187666"
"324","5.054629378245212","5.054629378245212","5.054629378245212"
"325","5.0579408447779715","5.0579408447779715","5.0579408447779715"
"326","5.067286498282105","5.067286498282105","5.067286498282105"
"327","5.082253352550848","5.082253352550848","5.082253352550848"
"328","5.076490745797986","5.076490745797986","5.076490745797986"
"329","5.074116620054701","5.074116620054701","5.074116620054701"
"330","5.080733812452294","5.080733812452294","5.080733812452294"
"331","5.069235319448868","5.069235319448868","5.069235319448868"
"332","5.073666642341763","5.073666642341763","5.073666642341763"
"333","5.083087727800011","5.083087727800011","5.083087727800011"
"334","5.068969153999875","5.068969153999875","5.068969153999875"
"335","5.082902788656066","5.082902788656066","5.082902788656066"
"336","5.085615203902649","5.085615203902649","5.085615203902649"
"337","5.065403211169178","5.065403211169178","5.065403211169178"
"338","5.093190511819208","5.093190511819208","5.093190511819208"
"339","5.074629662465537","5.074629662465537","5.074629662465537"
"340","5.077566024778004","5.077566024778004","5.077566024778004"
"341","5.082920194549719","5.082920194549719","5.082920194549719"
