"Step","Ereacher_Mnull_DS1000_W0.0015_lr0.01 - train.prediction_error","Ereacher_Mnull_DS1000_W0.0015_lr0.01 - train.prediction_error__MIN","Ereacher_Mnull_DS1000_W0.0015_lr0.01 - train.prediction_error__MAX"
"1","0.0078137731179595","0.0078137731179595","0.0078137731179595"
"2","0.00704314885661006","0.00704314885661006","0.00704314885661006"
"3","0.006490437313914299","0.006490437313914299","0.006490437313914299"
"4","0.006048711948096752","0.006048711948096752","0.006048711948096752"
"5","0.0056878263130784035","0.0056878263130784035","0.0056878263130784035"
"7","0.005142631474882364","0.005142631474882364","0.005142631474882364"
"8","0.004933569580316544","0.004933569580316544","0.004933569580316544"
"9","0.0047545949928462505","0.0047545949928462505","0.0047545949928462505"
"10","0.004598162602633238","0.004598162602633238","0.004598162602633238"
"11","0.004459258168935776","0.004459258168935776","0.004459258168935776"
"12","0.0043325419537723064","0.0043325419537723064","0.0043325419537723064"
"14","0.0041178748942911625","0.0041178748942911625","0.0041178748942911625"
"15","0.004027875140309334","0.004027875140309334","0.004027875140309334"
"16","0.003946803044527769","0.003946803044527769","0.003946803044527769"
"17","0.0038739480078220367","0.0038739480078220367","0.0038739480078220367"
"18","0.003807843429967761","0.003807843429967761","0.003807843429967761"
"19","0.0037478453014045954","0.0037478453014045954","0.0037478453014045954"
"20","0.0036930395290255547","0.0036930395290255547","0.0036930395290255547"
"21","0.0036420428659766912","0.0036420428659766912","0.0036420428659766912"
"22","0.0035962217953056097","0.0035962217953056097","0.0035962217953056097"
"23","0.003554516937583685","0.003554516937583685","0.003554516937583685"
"24","0.0035162491258233786","0.0035162491258233786","0.0035162491258233786"
"25","0.0034811703953891993","0.0034811703953891993","0.0034811703953891993"
"26","0.0034491277765482664","0.0034491277765482664","0.0034491277765482664"
"27","0.003419551532715559","0.003419551532715559","0.003419551532715559"
"28","0.0033919168636202812","0.0033919168636202812","0.0033919168636202812"
"29","0.0033660626504570246","0.0033660626504570246","0.0033660626504570246"
"30","0.0033422105479985476","0.0033422105479985476","0.0033422105479985476"
"31","0.0033206334337592125","0.0033206334337592125","0.0033206334337592125"
"32","0.0033007978927344084","0.0033007978927344084","0.0033007978927344084"
"33","0.0032823593355715275","0.0032823593355715275","0.0032823593355715275"
"34","0.0032655000686645508","0.0032655000686645508","0.0032655000686645508"
"35","0.0032497835345566273","0.0032497835345566273","0.0032497835345566273"
"36","0.0032349843531847","0.0032349843531847","0.0032349843531847"
"37","0.003220980055630207","0.003220980055630207","0.003220980055630207"
"39","0.00319635565392673","0.00319635565392673","0.00319635565392673"
"40","0.00318573578260839","0.00318573578260839","0.00318573578260839"
"41","0.0031760253477841616","0.0031760253477841616","0.0031760253477841616"
"42","0.003167219227179885","0.003167219227179885","0.003167219227179885"
"43","0.003159363754093647","0.003159363754093647","0.003159363754093647"
"45","0.003145926631987095","0.003145926631987095","0.003145926631987095"
"46","0.0031403021421283484","0.0031403021421283484","0.0031403021421283484"
"47","0.0031352094374597073","0.0031352094374597073","0.0031352094374597073"
"48","0.00313061336055398","0.00313061336055398","0.00313061336055398"
"49","0.003126452211290598","0.003126452211290598","0.003126452211290598"
"50","0.003122687339782715","0.003122687339782715","0.003122687339782715"
"51","0.0031193161848932505","0.0031193161848932505","0.0031193161848932505"
"52","0.0031163787934929132","0.0031163787934929132","0.0031163787934929132"
"53","0.00311384629458189","0.00311384629458189","0.00311384629458189"
"54","0.003111844416707754","0.003111844416707754","0.003111844416707754"
"56","0.0031087708193808794","0.0031087708193808794","0.0031087708193808794"
"57","0.003107628086581826","0.003107628086581826","0.003107628086581826"
"58","0.003106745658442378","0.003106745658442378","0.003106745658442378"
"59","0.0031061486806720495","0.0031061486806720495","0.0031061486806720495"
"60","0.003105733310803771","0.003105733310803771","0.003105733310803771"
"61","0.0031056583393365145","0.0031056583393365145","0.0031056583393365145"
"62","0.003105740761384368","0.003105740761384368","0.003105740761384368"
"63","0.00310602318495512","0.00310602318495512","0.00310602318495512"
"64","0.003106489311903715","0.003106489311903715","0.003106489311903715"
"65","0.003107067896053195","0.003107067896053195","0.003107067896053195"
"67","0.0031092858407646418","0.0031092858407646418","0.0031092858407646418"
"68","0.0031107510440051556","0.0031107510440051556","0.0031107510440051556"
"71","0.0031155417673289776","0.0031155417673289776","0.0031155417673289776"
"72","0.0031174502801150084","0.0031174502801150084","0.0031174502801150084"
"73","0.003119402565062046","0.003119402565062046","0.003119402565062046"
"74","0.0031214829068630934","0.0031214829068630934","0.0031214829068630934"
"76","0.0031261155381798744","0.0031261155381798744","0.0031261155381798744"
"78","0.0031311565544456244","0.0031311565544456244","0.0031311565544456244"
"79","0.0031338490080088377","0.0031338490080088377","0.0031338490080088377"
"80","0.0031366064213216305","0.0031366064213216305","0.0031366064213216305"
"81","0.0031394800171256065","0.0031394800171256065","0.0031394800171256065"
"83","0.0031456390861421824","0.0031456390861421824","0.0031456390861421824"
"85","0.003152481745928526","0.003152481745928526","0.003152481745928526"
"86","0.0031559602357447147","0.0031559602357447147","0.0031559602357447147"
"87","0.0031595160253345966","0.0031595160253345966","0.0031595160253345966"
"88","0.003163121407851577","0.003163121407851577","0.003163121407851577"
"89","0.0031668466981500387","0.0031668466981500387","0.0031668466981500387"
"90","0.0031705822329968214","0.0031705822329968214","0.0031705822329968214"
"91","0.003174469107761979","0.003174469107761979","0.003174469107761979"
