"Step","Ereacher_Mnull_DS1000_W0.0015_lr0.01 - train.NRC1","Ereacher_Mnull_DS1000_W0.0015_lr0.01 - train.NRC1__MIN","Ereacher_Mnull_DS1000_W0.0015_lr0.01 - train.NRC1__MAX"
"0","1.240633094758974","1.240633094758974","1.240633094758974"
"1","1.2137971693315195","1.2137971693315195","1.2137971693315195"
"2","1.1878425462562736","1.1878425462562736","1.1878425462562736"
"3","1.163682383868858","1.163682383868858","1.163682383868858"
"4","1.1401509213522658","1.1401509213522658","1.1401509213522658"
"5","1.116216619420389","1.116216619420389","1.116216619420389"
"6","1.0925213280210884","1.0925213280210884","1.0925213280210884"
"7","1.0692980333097657","1.0692980333097657","1.0692980333097657"
"8","1.0468247664668744","1.0468247664668744","1.0468247664668744"
"9","1.0254221242759523","1.0254221242759523","1.0254221242759523"
"10","1.0042279671983707","1.0042279671983707","1.0042279671983707"
"11","0.9832039358513576","0.9832039358513576","0.9832039358513576"
"12","0.9623868105401961","0.9623868105401961","0.9623868105401961"
"13","0.94137547784661","0.94137547784661","0.94137547784661"
"14","0.9203730256687995","0.9203730256687995","0.9203730256687995"
"15","0.8995087721865602","0.8995087721865602","0.8995087721865602"
"16","0.8784687344893027","0.8784687344893027","0.8784687344893027"
"17","0.8572112169977081","0.8572112169977081","0.8572112169977081"
"18","0.8360830136574805","0.8360830136574805","0.8360830136574805"
"19","0.8150299242535257","0.8150299242535257","0.8150299242535257"
"20","0.7940167467099527","0.7940167467099527","0.7940167467099527"
"21","0.7732201884998394","0.7732201884998394","0.7732201884998394"
"22","0.7527487936896651","0.7527487936896651","0.7527487936896651"
"23","0.7328923850920146","0.7328923850920146","0.7328923850920146"
"24","0.7134415763765574","0.7134415763765574","0.7134415763765574"
"25","0.6945236697360088","0.6945236697360088","0.6945236697360088"
"27","0.6586289294938069","0.6586289294938069","0.6586289294938069"
"28","0.641577686225588","0.641577686225588","0.641577686225588"
"29","0.6249940872332227","0.6249940872332227","0.6249940872332227"
"30","0.6088314909084147","0.6088314909084147","0.6088314909084147"
"31","0.5931682324712311","0.5931682324712311","0.5931682324712311"
"32","0.5780813140177088","0.5780813140177088","0.5780813140177088"
"33","0.563445960764835","0.563445960764835","0.563445960764835"
"34","0.5490708327634238","0.5490708327634238","0.5490708327634238"
"36","0.5214722885479605","0.5214722885479605","0.5214722885479605"
"38","0.4954075002707541","0.4954075002707541","0.4954075002707541"
"41","0.4590556837259246","0.4590556837259246","0.4590556837259246"
"43","0.4365485180712167","0.4365485180712167","0.4365485180712167"
"44","0.42580260471595466","0.42580260471595466","0.42580260471595466"
"46","0.40521133736192494","0.40521133736192494","0.40521133736192494"
"47","0.39539222247585715","0.39539222247585715","0.39539222247585715"
"48","0.3858226330869511","0.3858226330869511","0.3858226330869511"
"49","0.3765423559154478","0.3765423559154478","0.3765423559154478"
"50","0.3675724195565599","0.3675724195565599","0.3675724195565599"
"51","0.3588358338261023","0.3588358338261023","0.3588358338261023"
"52","0.3503494016717923","0.3503494016717923","0.3503494016717923"
"53","0.34210118004543255","0.34210118004543255","0.34210118004543255"
"54","0.33403138425844736","0.33403138425844736","0.33403138425844736"
"55","0.3261570358667668","0.3261570358667668","0.3261570358667668"
"57","0.31106225816629374","0.31106225816629374","0.31106225816629374"
"58","0.30387319988472516","0.30387319988472516","0.30387319988472516"
"60","0.2901313732058952","0.2901313732058952","0.2901313732058952"
"61","0.28353774872894066","0.28353774872894066","0.28353774872894066"
"62","0.2771148403189727","0.2771148403189727","0.2771148403189727"
"63","0.27085861289351304","0.27085861289351304","0.27085861289351304"
"65","0.25887717965617774","0.25887717965617774","0.25887717965617774"
"67","0.24751314904335686","0.24751314904335686","0.24751314904335686"
"68","0.2420920373819681","0.2420920373819681","0.2420920373819681"
"69","0.236827541826191","0.236827541826191","0.236827541826191"
"70","0.23172142394556794","0.23172142394556794","0.23172142394556794"
"71","0.22676690399451127","0.22676690399451127","0.22676690399451127"
"72","0.22192348812008642","0.22192348812008642","0.22192348812008642"
"73","0.21722992169898134","0.21722992169898134","0.21722992169898134"
"74","0.21270464507033557","0.21270464507033557","0.21270464507033557"
"75","0.20830638497840845","0.20830638497840845","0.20830638497840845"
"77","0.1998326343877161","0.1998326343877161","0.1998326343877161"
"78","0.1958037829588611","0.1958037829588611","0.1958037829588611"
"79","0.19188353818003087","0.19188353818003087","0.19188353818003087"
"81","0.18436674753049828","0.18436674753049828","0.18436674753049828"
"83","0.17725386387392883","0.17725386387392883","0.17725386387392883"
"84","0.1738515040266939","0.1738515040266939","0.1738515040266939"
"85","0.17053650998534522","0.17053650998534522","0.17053650998534522"
"86","0.16733111162486694","0.16733111162486694","0.16733111162486694"
"88","0.16118822479290337","0.16118822479290337","0.16118822479290337"
"89","0.15825385467942396","0.15825385467942396","0.15825385467942396"
"90","0.15536419883577401","0.15536419883577401","0.15536419883577401"
"91","0.1525623212481296","0.1525623212481296","0.1525623212481296"
"92","0.1498639630346006","0.1498639630346006","0.1498639630346006"
"93","0.14725723529257176","0.14725723529257176","0.14725723529257176"
"94","0.1447430826309719","0.1447430826309719","0.1447430826309719"
"95","0.1422610193400178","0.1422610193400178","0.1422610193400178"
"96","0.13988367346261749","0.13988367346261749","0.13988367346261749"
"97","0.13756248576370944","0.13756248576370944","0.13756248576370944"
"98","0.13529348401947935","0.13529348401947935","0.13529348401947935"
"99","0.1330959807375266","0.1330959807375266","0.1330959807375266"
"100","0.13097079502273937","0.13097079502273937","0.13097079502273937"
"101","0.12890926843194847","0.12890926843194847","0.12890926843194847"
"102","0.12691909839265372","0.12691909839265372","0.12691909839265372"
"104","0.12306866528002137","0.12306866528002137","0.12306866528002137"
"105","0.12121143223274067","0.12121143223274067","0.12121143223274067"
"106","0.1193923273259461","0.1193923273259461","0.1193923273259461"
"107","0.1176256975319493","0.1176256975319493","0.1176256975319493"
"109","0.11422722248826175","0.11422722248826175","0.11422722248826175"
"112","0.10949582961100168","0.10949582961100168","0.10949582961100168"
"113","0.10800625493081406","0.10800625493081406","0.10800625493081406"
"114","0.106587366084932","0.106587366084932","0.106587366084932"
"115","0.10519491693742111","0.10519491693742111","0.10519491693742111"
"116","0.10385856054292616","0.10385856054292616","0.10385856054292616"
"117","0.10256443199148725","0.10256443199148725","0.10256443199148725"
"118","0.10126974084290942","0.10126974084290942","0.10126974084290942"
"120","0.09881197173342025","0.09881197173342025","0.09881197173342025"
"121","0.09763132544980271","0.09763132544980271","0.09763132544980271"
"122","0.09647999322282794","0.09647999322282794","0.09647999322282794"
"123","0.09538797772312045","0.09538797772312045","0.09538797772312045"
"124","0.09431006806664755","0.09431006806664755","0.09431006806664755"
"125","0.09328263766021791","0.09328263766021791","0.09328263766021791"
"126","0.0922655978584089","0.0922655978584089","0.0922655978584089"
"127","0.09127087802309325","0.09127087802309325","0.09127087802309325"
"128","0.0903153699948607","0.0903153699948607","0.0903153699948607"
"129","0.08940764588771799","0.08940764588771799","0.08940764588771799"
"130","0.08850524213170866","0.08850524213170866","0.08850524213170866"
"131","0.0876261438839756","0.0876261438839756","0.0876261438839756"
"132","0.08678495941570964","0.08678495941570964","0.08678495941570964"
"133","0.085980158940205","0.085980158940205","0.085980158940205"
"134","0.08518512799785186","0.08518512799785186","0.08518512799785186"
"135","0.08443290363002234","0.08443290363002234","0.08443290363002234"
"136","0.08369123897595364","0.08369123897595364","0.08369123897595364"
"137","0.08297336353243827","0.08297336353243827","0.08297336353243827"
"138","0.08226212654315168","0.08226212654315168","0.08226212654315168"
"139","0.08157475981392873","0.08157475981392873","0.08157475981392873"
"140","0.08091263076553241","0.08091263076553241","0.08091263076553241"
"141","0.08028137851577775","0.08028137851577775","0.08028137851577775"
"144","0.07840978395914953","0.07840978395914953","0.07840978395914953"
"145","0.07781939757662712","0.07781939757662712","0.07781939757662712"
"146","0.07727697584232465","0.07727697584232465","0.07727697584232465"
"148","0.07625082805290367","0.07625082805290367","0.07625082805290367"
"149","0.07577315511265716","0.07577315511265716","0.07577315511265716"
"150","0.075305142830367","0.075305142830367","0.075305142830367"
"151","0.07485821705668877","0.07485821705668877","0.07485821705668877"
"152","0.07442292158590226","0.07442292158590226","0.07442292158590226"
"153","0.07401714993663427","0.07401714993663427","0.07401714993663427"
"154","0.07360821639260758","0.07360821639260758","0.07360821639260758"
"155","0.07320813459955389","0.07320813459955389","0.07320813459955389"
"156","0.07281158433308883","0.07281158433308883","0.07281158433308883"
"157","0.07243550844356014","0.07243550844356014","0.07243550844356014"
"158","0.07205966150459427","0.07205966150459427","0.07205966150459427"
"159","0.071725784012423","0.071725784012423","0.071725784012423"
"161","0.0710689570983086","0.0710689570983086","0.0710689570983086"
"163","0.07045428980549695","0.07045428980549695","0.07045428980549695"
"164","0.07017679489922012","0.07017679489922012","0.07017679489922012"
"165","0.06992298798624778","0.06992298798624778","0.06992298798624778"
"166","0.06966421214983802","0.06966421214983802","0.06966421214983802"
"169","0.06887494871343733","0.06887494871343733","0.06887494871343733"
"170","0.06864011630925597","0.06864011630925597","0.06864011630925597"
"171","0.0684083982945922","0.0684083982945922","0.0684083982945922"
"172","0.0681937668815408","0.0681937668815408","0.0681937668815408"
"173","0.06797288365580698","0.06797288365580698","0.06797288365580698"
"174","0.06775323792478594","0.06775323792478594","0.06775323792478594"
"175","0.06755278959954103","0.06755278959954103","0.06755278959954103"
"176","0.06736912221697366","0.06736912221697366","0.06736912221697366"
"177","0.06718679923891704","0.06718679923891704","0.06718679923891704"
"178","0.06702013409859865","0.06702013409859865","0.06702013409859865"
"179","0.06685985179891668","0.06685985179891668","0.06685985179891668"
"180","0.06672202321158784","0.06672202321158784","0.06672202321158784"
"181","0.06659761343244464","0.06659761343244464","0.06659761343244464"
"182","0.06647064503165984","0.06647064503165984","0.06647064503165984"
"183","0.0663462213671628","0.0663462213671628","0.0663462213671628"
"184","0.06623551170964584","0.06623551170964584","0.06623551170964584"
"185","0.06612591816377608","0.06612591816377608","0.06612591816377608"
"186","0.0660200107826031","0.0660200107826031","0.0660200107826031"
"187","0.06591669692210053","0.06591669692210053","0.06591669692210053"
"188","0.06583621191477959","0.06583621191477959","0.06583621191477959"
"189","0.06574372808398857","0.06574372808398857","0.06574372808398857"
"190","0.06568090774355005","0.06568090774355005","0.06568090774355005"
"191","0.06561544452517773","0.06561544452517773","0.06561544452517773"
"192","0.06556411367002965","0.06556411367002965","0.06556411367002965"
"194","0.06547779402282322","0.06547779402282322","0.06547779402282322"
"196","0.06542019175980476","0.06542019175980476","0.06542019175980476"
