"Step","Ereacher_Mnull_DS1000_W0.0015_lr0.01 - train.proj_error_H2W","Ereacher_Mnull_DS1000_W0.0015_lr0.01 - train.proj_error_H2W__MIN","Ereacher_Mnull_DS1000_W0.0015_lr0.01 - train.proj_error_H2W__MAX"
"0","0.021583983674645424","0.021583983674645424","0.021583983674645424"
"1","0.020843982696533203","0.020843982696533203","0.020843982696533203"
"3","0.019830157980322838","0.019830157980322838","0.019830157980322838"
"4","0.019325707107782364","0.019325707107782364","0.019325707107782364"
"5","0.018836479634046555","0.018836479634046555","0.018836479634046555"
"7","0.017900733277201653","0.017900733277201653","0.017900733277201653"
"8","0.017442496493458748","0.017442496493458748","0.017442496493458748"
"9","0.016986843198537827","0.016986843198537827","0.016986843198537827"
"10","0.01654161885380745","0.01654161885380745","0.01654161885380745"
"11","0.016113681718707085","0.016113681718707085","0.016113681718707085"
"13","0.015292524360120296","0.015292524360120296","0.015292524360120296"
"14","0.014894317835569382","0.014894317835569382","0.014894317835569382"
"15","0.014505946077406406","0.014505946077406406","0.014505946077406406"
"17","0.013754594139754772","0.013754594139754772","0.013754594139754772"
"19","0.013028828427195549","0.013028828427195549","0.013028828427195549"
"20","0.012675710953772068","0.012675710953772068","0.012675710953772068"
"21","0.012330400757491589","0.012330400757491589","0.012330400757491589"
"22","0.011993233114480972","0.011993233114480972","0.011993233114480972"
"23","0.011664802208542824","0.011664802208542824","0.011664802208542824"
"24","0.01134470384567976","0.01134470384567976","0.01134470384567976"
"25","0.011031032539904118","0.011031032539904118","0.011031032539904118"
"26","0.010725592263042927","0.010725592263042927","0.010725592263042927"
"27","0.010427230037748814","0.010427230037748814","0.010427230037748814"
"28","0.010137145407497883","0.010137145407497883","0.010137145407497883"
"29","0.009854761883616447","0.009854761883616447","0.009854761883616447"
"30","0.009580572135746479","0.009580572135746479","0.009580572135746479"
"31","0.00931535568088293","0.00931535568088293","0.00931535568088293"
"32","0.009057348594069481","0.009057348594069481","0.009057348594069481"
"34","0.008564410731196404","0.008564410731196404","0.008564410731196404"
"35","0.008327831514179707","0.008327831514179707","0.008327831514179707"
"36","0.008098808117210865","0.008098808117210865","0.008098808117210865"
"37","0.007876855321228504","0.007876855321228504","0.007876855321228504"
"38","0.007661564741283655","0.007661564741283655","0.007661564741283655"
"39","0.007452346384525299","0.007452346384525299","0.007452346384525299"
"40","0.007248978596180677","0.007248978596180677","0.007248978596180677"
"41","0.007052052300423384","0.007052052300423384","0.007052052300423384"
"43","0.006676039658486843","0.006676039658486843","0.006676039658486843"
"44","0.006495710462331772","0.006495710462331772","0.006495710462331772"
"47","0.005986488424241543","0.005986488424241543","0.005986488424241543"
"48","0.005826868116855621","0.005826868116855621","0.005826868116855621"
"49","0.005671556573361158","0.005671556573361158","0.005671556573361158"
"51","0.005375214386731386","0.005375214386731386","0.005375214386731386"
"52","0.00523343263193965","0.00523343263193965","0.00523343263193965"
"53","0.005096138454973698","0.005096138454973698","0.005096138454973698"
"54","0.004962635226547718","0.004962635226547718","0.004962635226547718"
"55","0.004833080340176821","0.004833080340176821","0.004833080340176821"
"56","0.004707408137619495","0.004707408137619495","0.004707408137619495"
"59","0.004352107178419828","0.004352107178419828","0.004352107178419828"
"60","0.004240507259964943","0.004240507259964943","0.004240507259964943"
"61","0.004132123198360205","0.004132123198360205","0.004132123198360205"
"62","0.0040270606987178326","0.0040270606987178326","0.0040270606987178326"
"63","0.0039253500290215015","0.0039253500290215015","0.0039253500290215015"
"64","0.003826803294941783","0.003826803294941783","0.003826803294941783"
"65","0.0037313879001885653","0.0037313879001885653","0.0037313879001885653"
"66","0.003638596972450614","0.003638596972450614","0.003638596972450614"
"67","0.0035485040862113237","0.0035485040862113237","0.0035485040862113237"
"68","0.0034609553404152393","0.0034609553404152393","0.0034609553404152393"
"69","0.0033759495709091425","0.0033759495709091425","0.0033759495709091425"
"70","0.003293230663985014","0.003293230663985014","0.003293230663985014"
"71","0.0032124873250722885","0.0032124873250722885","0.0032124873250722885"
"72","0.003134009428322315","0.003134009428322315","0.003134009428322315"
"75","0.0029109851457178593","0.0029109851457178593","0.0029109851457178593"
"77","0.002773231826722622","0.002773231826722622","0.002773231826722622"
"78","0.0027075347024947405","0.0027075347024947405","0.0027075347024947405"
"80","0.0025814890395849943","0.0025814890395849943","0.0025814890395849943"
"81","0.002521194750443101","0.002521194750443101","0.002521194750443101"
"82","0.0024625605437904596","0.0024625605437904596","0.0024625605437904596"
"83","0.002405725186690688","0.002405725186690688","0.002405725186690688"
"84","0.002350450027734041","0.002350450027734041","0.002350450027734041"
"85","0.0022968146950006485","0.0022968146950006485","0.0022968146950006485"
"86","0.0022445269860327244","0.0022445269860327244","0.0022445269860327244"
"87","0.0021936679258942604","0.0021936679258942604","0.0021936679258942604"
"88","0.002144278958439827","0.002144278958439827","0.002144278958439827"
"89","0.0020960792899131775","0.0020960792899131775","0.0020960792899131775"
"90","0.002049401868134737","0.002049401868134737","0.002049401868134737"
"91","0.0020040166564285755","0.0020040166564285755","0.0020040166564285755"
"92","0.0019599359948188066","0.0019599359948188066","0.0019599359948188066"
"94","0.001875525456853211","0.001875525456853211","0.001875525456853211"
"96","0.0017954945797100663","0.0017954945797100663","0.0017954945797100663"
"97","0.0017571257194504142","0.0017571257194504142","0.0017571257194504142"
"98","0.0017199120484292507","0.0017199120484292507","0.0017199120484292507"
"99","0.001683768699876964","0.001683768699876964","0.001683768699876964"
"100","0.0016484622610732913","0.0016484622610732913","0.0016484622610732913"
"102","0.0015808597672730684","0.0015808597672730684","0.0015808597672730684"
"103","0.0015485093463212252","0.0015485093463212252","0.0015485093463212252"
"106","0.0014560940908268094","0.0014560940908268094","0.0014560940908268094"
"107","0.0014268314698711038","0.0014268314698711038","0.0014268314698711038"
"108","0.0013983470853418112","0.0013983470853418112","0.0013983470853418112"
"109","0.0013707716716453433","0.0013707716716453433","0.0013707716716453433"
"110","0.0013440640177577734","0.0013440640177577734","0.0013440640177577734"
"111","0.0013181274989619851","0.0013181274989619851","0.0013181274989619851"
"113","0.0012681233929470181","0.0012681233929470181","0.0012681233929470181"
"114","0.001244072918780148","0.001244072918780148","0.001244072918780148"
"115","0.0012205089442431927","0.0012205089442431927","0.0012205089442431927"
"116","0.0011974613880738616","0.0011974613880738616","0.0011974613880738616"
"117","0.001175148063339293","0.001175148063339293","0.001175148063339293"
"118","0.0011534863151609898","0.0011534863151609898","0.0011534863151609898"
"119","0.0011323990765959024","0.0011323990765959024","0.0011323990765959024"
"120","0.0011118297697976232","0.0011118297697976232","0.0011118297697976232"
"122","0.0010723674204200506","0.0010723674204200506","0.0010723674204200506"
"123","0.0010533408494666219","0.0010533408494666219","0.0010533408494666219"
"124","0.0010348439682275057","0.0010348439682275057","0.0010348439682275057"
"126","0.0009990878170356154","0.0009990878170356154","0.0009990878170356154"
"127","0.0009819738334044814","0.0009819738334044814","0.0009819738334044814"
"128","0.0009653827291913331","0.0009653827291913331","0.0009653827291913331"
"129","0.0009491625824011862","0.0009491625824011862","0.0009491625824011862"
"130","0.0009333511115983129","0.0009333511115983129","0.0009333511115983129"
"131","0.0009179126936942339","0.0009179126936942339","0.0009179126936942339"
"133","0.0008881588000804186","0.0008881588000804186","0.0008881588000804186"
"135","0.0008600830915383995","0.0008600830915383995","0.0008600830915383995"
"137","0.0008333251462318003","0.0008333251462318003","0.0008333251462318003"
"138","0.0008203638717532158","0.0008203638717532158","0.0008203638717532158"
"139","0.0008076973026618361","0.0008076973026618361","0.0008076973026618361"
"140","0.0007953752065077424","0.0007953752065077424","0.0007953752065077424"
"141","0.0007833796553313732","0.0007833796553313732","0.0007833796553313732"
"142","0.0007716047111898661","0.0007716047111898661","0.0007716047111898661"
"144","0.0007489137933589518","0.0007489137933589518","0.0007489137933589518"
"146","0.0007274775998666883","0.0007274775998666883","0.0007274775998666883"
"147","0.000717156333848834","0.000717156333848834","0.000717156333848834"
"148","0.0007070896099321544","0.0007070896099321544","0.0007070896099321544"
"149","0.0006973589188419282","0.0006973589188419282","0.0006973589188419282"
"150","0.0006878891726955771","0.0006878891726955771","0.0006878891726955771"
"151","0.0006786672165617347","0.0006786672165617347","0.0006786672165617347"
"152","0.0006695573101751506","0.0006695573101751506","0.0006695573101751506"
"153","0.0006606625393033028","0.0006606625393033028","0.0006606625393033028"
"154","0.0006519822054542601","0.0006519822054542601","0.0006519822054542601"
"155","0.0006435506511479616","0.0006435506511479616","0.0006435506511479616"
"156","0.0006353261414915323","0.0006353261414915323","0.0006353261414915323"
"158","0.0006194724701344967","0.0006194724701344967","0.0006194724701344967"
"159","0.0006118239252828062","0.0006118239252828062","0.0006118239252828062"
"160","0.0006043438334017992","0.0006043438334017992","0.0006043438334017992"
"161","0.0005970617639832199","0.0005970617639832199","0.0005970617639832199"
"162","0.0005899234674870968","0.0005899234674870968","0.0005899234674870968"
"164","0.0005761848879046738","0.0005761848879046738","0.0005761848879046738"
"165","0.000569570460356772","0.000569570460356772","0.000569570460356772"
"166","0.0005630611558444798","0.0005630611558444798","0.0005630611558444798"
"167","0.000556644459720701","0.000556644459720701","0.000556644459720701"
"169","0.0005442784749902785","0.0005442784749902785","0.0005442784749902785"
"170","0.0005383858806453645","0.0005383858806453645","0.0005383858806453645"
"171","0.000532645673956722","0.000532645673956722","0.000532645673956722"
"172","0.0005270079127512872","0.0005270079127512872","0.0005270079127512872"
"174","0.0005159284337423742","0.0005159284337423742","0.0005159284337423742"
"175","0.0005105690797790885","0.0005105690797790885","0.0005105690797790885"
"176","0.0005053228815086186","0.0005053228815086186","0.0005053228815086186"
"178","0.0004951045266352594","0.0004951045266352594","0.0004951045266352594"
"179","0.0004901853972114623","0.0004901853972114623","0.0004901853972114623"
"180","0.0004853036953136325","0.0004853036953136325","0.0004853036953136325"
"183","0.00047132212785072625","0.00047132212785072625","0.00047132212785072625"
"184","0.00046690076123923063","0.00046690076123923063","0.00046690076123923063"
"185","0.00046260171802714467","0.00046260171802714467","0.00046260171802714467"
"186","0.00045840186066925526","0.00045840186066925526","0.00045840186066925526"
"188","0.00045022735139355063","0.00045022735139355063","0.00045022735139355063"
"189","0.0004462855577003211","0.0004462855577003211","0.0004462855577003211"
"190","0.000442408345406875","0.000442408345406875","0.000442408345406875"
"191","0.00043861265294253826","0.00043861265294253826","0.00043861265294253826"
"192","0.00043490820098668337","0.00043490820098668337","0.00043490820098668337"
"193","0.0004313075332902372","0.0004313075332902372","0.0004313075332902372"
"194","0.00042775782640092075","0.00042775782640092075","0.00042775782640092075"
"196","0.0004209704347886145","0.0004209704347886145","0.0004209704347886145"
"197","0.0004176490183454007","0.0004176490183454007","0.0004176490183454007"
"198","0.000414382666349411","0.000414382666349411","0.000414382666349411"
"200","0.000408123160013929","0.000408123160013929","0.000408123160013929"
"201","0.00040511490078642964","0.00040511490078642964","0.00040511490078642964"
"205","0.0003936896100640297","0.0003936896100640297","0.0003936896100640297"
"206","0.0003909949155058712","0.0003909949155058712","0.0003909949155058712"
"207","0.00038837199099361897","0.00038837199099361897","0.00038837199099361897"
"210","0.0003806851163972169","0.0003806851163972169","0.0003806851163972169"
"211","0.0003782035200856626","0.0003782035200856626","0.0003782035200856626"
"212","0.00037578411865979433","0.00037578411865979433","0.00037578411865979433"
"215","0.00036885368172079325","0.00036885368172079325","0.00036885368172079325"
"216","0.00036663885111920536","0.00036663885111920536","0.00036663885111920536"
"218","0.00036227371310815215","0.00036227371310815215","0.00036227371310815215"
"219","0.00036015137447975576","0.00036015137447975576","0.00036015137447975576"
"220","0.0003580760967452079","0.0003580760967452079","0.0003580760967452079"
"221","0.00035604077856987715","0.00035604077856987715","0.00035604077856987715"
"222","0.0003540446050465107","0.0003540446050465107","0.0003540446050465107"
"223","0.00035210239002481103","0.00035210239002481103","0.00035210239002481103"
"224","0.0003501764440443367","0.0003501764440443367","0.0003501764440443367"
"225","0.0003482877218630165","0.0003482877218630165","0.0003482877218630165"
"226","0.0003464376204647124","0.0003464376204647124","0.0003464376204647124"
"227","0.0003446374030318111","0.0003446374030318111","0.0003446374030318111"
"228","0.0003428675699979067","0.0003428675699979067","0.0003428675699979067"
"230","0.0003394042723812163","0.0003394042723812163","0.0003394042723812163"
"231","0.0003377141256351024","0.0003377141256351024","0.0003377141256351024"
"232","0.0003360709815751761","0.0003360709815751761","0.0003360709815751761"
"233","0.00033448112662881613","0.00033448112662881613","0.00033448112662881613"
"234","0.0003329225583001971","0.0003329225583001971","0.0003329225583001971"
"235","0.00033135994453914464","0.00033135994453914464","0.00033135994453914464"
"237","0.00032830683630891144","0.00032830683630891144","0.00032830683630891144"
"238","0.00032684087636880577","0.00032684087636880577","0.00032684087636880577"
"240","0.0003240247897338122","0.0003240247897338122","0.0003240247897338122"
"241","0.00032266441849060357","0.00032266441849060357","0.00032266441849060357"
"242","0.00032132052001543343","0.00032132052001543343","0.00032132052001543343"
"243","0.0003199755446985364","0.0003199755446985364","0.0003199755446985364"
"244","0.0003186265821568668","0.0003186265821568668","0.0003186265821568668"
"245","0.00031728658359497786","0.00031728658359497786","0.00031728658359497786"
"246","0.0003159588959533721","0.0003159588959533721","0.0003159588959533721"
"247","0.0003146552771795541","0.0003146552771795541","0.0003146552771795541"
"249","0.00031216160277836025","0.00031216160277836025","0.00031216160277836025"
"250","0.0003109682584181428","0.0003109682584181428","0.0003109682584181428"
"251","0.0003097930457442999","0.0003097930457442999","0.0003097930457442999"
"252","0.00030866757151670754","0.00030866757151670754","0.00030866757151670754"
"253","0.00030757213244214654","0.00030757213244214654","0.00030757213244214654"
"254","0.00030650466214865446","0.00030650466214865446","0.00030650466214865446"
"255","0.0003054655680898577","0.0003054655680898577","0.0003054655680898577"
"256","0.0003044445184059441","0.0003044445184059441","0.0003044445184059441"
"258","0.0003024329780600965","0.0003024329780600965","0.0003024329780600965"
"259","0.0003014558460563421","0.0003014558460563421","0.0003014558460563421"
"260","0.00030048374901525676","0.00030048374901525676","0.00030048374901525676"
"261","0.00029950958560220897","0.00029950958560220897","0.00029950958560220897"
"262","0.0002985820174217224","0.0002985820174217224","0.0002985820174217224"
"263","0.0002976567775476724","0.0002976567775476724","0.0002976567775476724"
"264","0.0002967391919810325","0.0002967391919810325","0.0002967391919810325"
"265","0.0002958279801532626","0.0002958279801532626","0.0002958279801532626"
"266","0.00029493714100681245","0.00029493714100681245","0.00029493714100681245"
"267","0.00029403925873339176","0.00029403925873339176","0.00029403925873339176"
"268","0.00029317635926418006","0.00029317635926418006","0.00029317635926418006"
