"Step","Ereacher_Mnull_DS1000_W0.0015_lr0.01 - validation.prediction_error","Ereacher_Mnull_DS1000_W0.0015_lr0.01 - validation.prediction_error__MIN","Ereacher_Mnull_DS1000_W0.0015_lr0.01 - validation.prediction_error__MAX"
"2","0.008008729666471481","0.008008729666471481","0.008008729666471481"
"3","0.007436634972691536","0.007436634972691536","0.007436634972691536"
"4","0.006959720980376005","0.006959720980376005","0.006959720980376005"
"5","0.006556532811373472","0.006556532811373472","0.006556532811373472"
"6","0.006217332556843758","0.006217332556843758","0.006217332556843758"
"7","0.005934573244303465","0.005934573244303465","0.005934573244303465"
"8","0.005685785319656134","0.005685785319656134","0.005685785319656134"
"9","0.005474697798490524","0.005474697798490524","0.005474697798490524"
"10","0.0052842311561107635","0.0052842311561107635","0.0052842311561107635"
"11","0.005113040097057819","0.005113040097057819","0.005113040097057819"
"13","0.004816102795302868","0.004816102795302868","0.004816102795302868"
"14","0.004692872986197472","0.004692872986197472","0.004692872986197472"
"15","0.004582269117236137","0.004582269117236137","0.004582269117236137"
"16","0.0044800397008657455","0.0044800397008657455","0.0044800397008657455"
"17","0.004387483466416597","0.004387483466416597","0.004387483466416597"
"18","0.004303779918700457","0.004303779918700457","0.004303779918700457"
"19","0.0042285677045583725","0.0042285677045583725","0.0042285677045583725"
"20","0.004160223063081503","0.004160223063081503","0.004160223063081503"
"21","0.004098875448107719","0.004098875448107719","0.004098875448107719"
"22","0.004040670581161976","0.004040670581161976","0.004040670581161976"
"23","0.003988897893577814","0.003988897893577814","0.003988897893577814"
"24","0.0039396523497998714","0.0039396523497998714","0.0039396523497998714"
"26","0.0038556628860533237","0.0038556628860533237","0.0038556628860533237"
"27","0.003819049568846822","0.003819049568846822","0.003819049568846822"
"28","0.003786528715863824","0.003786528715863824","0.003786528715863824"
"31","0.0037002908065915108","0.0037002908065915108","0.0037002908065915108"
"32","0.0036770268343389034","0.0036770268343389034","0.0036770268343389034"
"33","0.003655369859188795","0.003655369859188795","0.003655369859188795"
"35","0.003614499932155013","0.003614499932155013","0.003614499932155013"
"36","0.003596630645915866","0.003596630645915866","0.003596630645915866"
"37","0.0035787627566605806","0.0035787627566605806","0.0035787627566605806"
"38","0.003562749130651355","0.003562749130651355","0.003562749130651355"
"39","0.0035479667130857706","0.0035479667130857706","0.0035479667130857706"
"40","0.0035332089755684137","0.0035332089755684137","0.0035332089755684137"
"41","0.0035205238964408636","0.0035205238964408636","0.0035205238964408636"
"42","0.0035085869021713734","0.0035085869021713734","0.0035085869021713734"
"43","0.003497445024549961","0.003497445024549961","0.003497445024549961"
"44","0.003487983951345086","0.003487983951345086","0.003487983951345086"
"45","0.0034792914520949125","0.0034792914520949125","0.0034792914520949125"
"46","0.0034705454017966986","0.0034705454017966986","0.0034705454017966986"
"48","0.0034575529862195253","0.0034575529862195253","0.0034575529862195253"
"49","0.0034513806458562613","0.0034513806458562613","0.0034513806458562613"
"51","0.0034410578664392233","0.0034410578664392233","0.0034410578664392233"
"52","0.003437298582866788","0.003437298582866788","0.003437298582866788"
"53","0.0034326238092035055","0.0034326238092035055","0.0034326238092035055"
"54","0.003429332748055458","0.003429332748055458","0.003429332748055458"
"55","0.003426132258027792","0.003426132258027792","0.003426132258027792"
"56","0.003423224203288555","0.003423224203288555","0.003423224203288555"
"57","0.003421094734221697","0.003421094734221697","0.003421094734221697"
"59","0.0034179179929196835","0.0034179179929196835","0.0034179179929196835"
"60","0.003416111459955573","0.003416111459955573","0.003416111459955573"
"61","0.003415060229599476","0.003415060229599476","0.003415060229599476"
"62","0.003414754755795002","0.003414754755795002","0.003414754755795002"
"63","0.0034137177281081676","0.0034137177281081676","0.0034137177281081676"
"64","0.003412929130718112","0.003412929130718112","0.003412929130718112"
"65","0.0034129307605326176","0.0034129307605326176","0.0034129307605326176"
"67","0.0034126192331314087","0.0034126192331314087","0.0034126192331314087"
"68","0.003412976861000061","0.003412976861000061","0.003412976861000061"
"69","0.0034131400752812624","0.0034131400752812624","0.0034131400752812624"
"70","0.003413507714867592","0.003413507714867592","0.003413507714867592"
"74","0.0034165054094046354","0.0034165054094046354","0.0034165054094046354"
"75","0.003417392959818244","0.003417392959818244","0.003417392959818244"
"76","0.0034191838931292295","0.0034191838931292295","0.0034191838931292295"
"77","0.0034203357063233852","0.0034203357063233852","0.0034203357063233852"
"78","0.00342172896489501","0.00342172896489501","0.00342172896489501"
"79","0.003422956448048353","0.003422956448048353","0.003422956448048353"
"81","0.003426134353503585","0.003426134353503585","0.003426134353503585"
"82","0.0034278645180165768","0.0034278645180165768","0.0034278645180165768"
"83","0.0034300482366234064","0.0034300482366234064","0.0034300482366234064"
"84","0.003432562341913581","0.003432562341913581","0.003432562341913581"
"85","0.0034341311547905207","0.0034341311547905207","0.0034341311547905207"
"86","0.0034366631880402565","0.0034366631880402565","0.0034366631880402565"
"87","0.0034388690255582333","0.0034388690255582333","0.0034388690255582333"
"88","0.0034416073467582464","0.0034416073467582464","0.0034416073467582464"
"89","0.0034446045756340027","0.0034446045756340027","0.0034446045756340027"
"92","0.0034520039334893227","0.0034520039334893227","0.0034520039334893227"
"93","0.003454935271292925","0.003454935271292925","0.003454935271292925"
"94","0.0034583474043756723","0.0034583474043756723","0.0034583474043756723"
"96","0.0034649583976715803","0.0034649583976715803","0.0034649583976715803"
"97","0.0034687777515500784","0.0034687777515500784","0.0034687777515500784"
"98","0.0034722252748906612","0.0034722252748906612","0.0034722252748906612"
"100","0.0034791675861924887","0.0034791675861924887","0.0034791675861924887"
"101","0.003482846077531576","0.003482846077531576","0.003482846077531576"
"102","0.003486915258690715","0.003486915258690715","0.003486915258690715"
"103","0.0034904275089502335","0.0034904275089502335","0.0034904275089502335"
"104","0.003494811011478305","0.003494811011478305","0.003494811011478305"
"105","0.003498815931379795","0.003498815931379795","0.003498815931379795"
"106","0.003503569168969989","0.003503569168969989","0.003503569168969989"
"107","0.0035074467305094004","0.0035074467305094004","0.0035074467305094004"
"109","0.003515807446092367","0.003515807446092367","0.003515807446092367"
"110","0.0035203767474740744","0.0035203767474740744","0.0035203767474740744"
"112","0.003529801731929183","0.003529801731929183","0.003529801731929183"
"114","0.003538925899192691","0.003538925899192691","0.003538925899192691"
"115","0.0035433932207524776","0.0035433932207524776","0.0035433932207524776"
"116","0.003547830507159233","0.003547830507159233","0.003547830507159233"
"118","0.0035562217235565186","0.0035562217235565186","0.0035562217235565186"
"119","0.0035608652979135513","0.0035608652979135513","0.0035608652979135513"
"120","0.003565204329788685","0.003565204329788685","0.003565204329788685"
"121","0.0035699582658708096","0.0035699582658708096","0.0035699582658708096"
"122","0.0035745722707360983","0.0035745722707360983","0.0035745722707360983"
"123","0.003580248448997736","0.003580248448997736","0.003580248448997736"
"124","0.0035844084341078997","0.0035844084341078997","0.0035844084341078997"
"125","0.003589467378333211","0.003589467378333211","0.003589467378333211"
"128","0.0036032069474458694","0.0036032069474458694","0.0036032069474458694"
"129","0.0036085951142013073","0.0036085951142013073","0.0036085951142013073"
"131","0.003617069683969021","0.003617069683969021","0.003617069683969021"
"132","0.003621893934905529","0.003621893934905529","0.003621893934905529"
"133","0.0036272623110562563","0.0036272623110562563","0.0036272623110562563"
"134","0.003631880972534418","0.003631880972534418","0.003631880972534418"
"136","0.0036423145793378353","0.0036423145793378353","0.0036423145793378353"
"137","0.0036470002960413694","0.0036470002960413694","0.0036470002960413694"
"138","0.0036520231515169144","0.0036520231515169144","0.0036520231515169144"
"139","0.003656876040622592","0.003656876040622592","0.003656876040622592"
"140","0.003661900060251355","0.003661900060251355","0.003661900060251355"
"141","0.0036669939290732145","0.0036669939290732145","0.0036669939290732145"
"142","0.0036717532202601433","0.0036717532202601433","0.0036717532202601433"
"145","0.0036862229462713003","0.0036862229462713003","0.0036862229462713003"
"147","0.003696651430800557","0.003696651430800557","0.003696651430800557"
"148","0.003701454494148493","0.003701454494148493","0.003701454494148493"
"149","0.0037064533680677414","0.0037064533680677414","0.0037064533680677414"
"150","0.003710770281031728","0.003710770281031728","0.003710770281031728"
"152","0.003720225766301155","0.003720225766301155","0.003720225766301155"
"153","0.0037249561864882708","0.0037249561864882708","0.0037249561864882708"
"154","0.00372968683950603","0.00372968683950603","0.00372968683950603"
"155","0.0037340361159294844","0.0037340361159294844","0.0037340361159294844"
"156","0.0037385530304163694","0.0037385530304163694","0.0037385530304163694"
"157","0.0037431528326123953","0.0037431528326123953","0.0037431528326123953"
"158","0.0037475647404789925","0.0037475647404789925","0.0037475647404789925"
"159","0.0037525531370192766","0.0037525531370192766","0.0037525531370192766"
"160","0.003757571568712592","0.003757571568712592","0.003757571568712592"
"161","0.0037619692739099264","0.0037619692739099264","0.0037619692739099264"
"162","0.0037663953844457865","0.0037663953844457865","0.0037663953844457865"
"163","0.003771154209971428","0.003771154209971428","0.003771154209971428"
"164","0.0037757945246994495","0.0037757945246994495","0.0037757945246994495"
"165","0.00378071959130466","0.00378071959130466","0.00378071959130466"
"166","0.0037851568777114153","0.0037851568777114153","0.0037851568777114153"
"167","0.003789580659940839","0.003789580659940839","0.003789580659940839"
"168","0.0037940037436783314","0.0037940037436783314","0.0037940037436783314"
"169","0.003798453835770488","0.003798453835770488","0.003798453835770488"
"170","0.0038025733083486557","0.0038025733083486557","0.0038025733083486557"
"171","0.0038069498259574175","0.0038069498259574175","0.0038069498259574175"
"172","0.003811451606452465","0.003811451606452465","0.003811451606452465"
"173","0.003815582487732172","0.003815582487732172","0.003815582487732172"
