"Step","Eswimmer_Mnull_DS1000_W0.005_lr0.01 - train.proj_error_H2W","Eswimmer_Mnull_DS1000_W0.005_lr0.01 - train.proj_error_H2W__MIN","Eswimmer_Mnull_DS1000_W0.005_lr0.01 - train.proj_error_H2W__MAX"
"0","0.007313934154808521","0.007313934154808521","0.007313934154808521"
"1","0.01589043438434601","0.01589043438434601","0.01589043438434601"
"2","0.015619411133229733","0.015619411133229733","0.015619411133229733"
"3","0.015255719423294067","0.015255719423294067","0.015255719423294067"
"4","0.015177465043962002","0.015177465043962002","0.015177465043962002"
"5","0.01527002826333046","0.01527002826333046","0.01527002826333046"
"6","0.015370228327810764","0.015370228327810764","0.015370228327810764"
"7","0.015414660796523094","0.015414660796523094","0.015414660796523094"
"8","0.015406678430736065","0.015406678430736065","0.015406678430736065"
"9","0.015256885439157486","0.015256885439157486","0.015256885439157486"
"10","0.014996391721069813","0.014996391721069813","0.014996391721069813"
"11","0.014672662131488323","0.014672662131488323","0.014672662131488323"
"12","0.014296813867986202","0.014296813867986202","0.014296813867986202"
"13","0.013871791772544384","0.013871791772544384","0.013871791772544384"
"14","0.013406847603619099","0.013406847603619099","0.013406847603619099"
"15","0.012960274703800678","0.012960274703800678","0.012960274703800678"
"16","0.012520099990069866","0.012520099990069866","0.012520099990069866"
"17","0.012091248296201229","0.012091248296201229","0.012091248296201229"
"18","0.011685796082019806","0.011685796082019806","0.011685796082019806"
"19","0.011290084570646286","0.011290084570646286","0.011290084570646286"
"20","0.010914892889559269","0.010914892889559269","0.010914892889559269"
"21","0.010561443865299225","0.010561443865299225","0.010561443865299225"
"22","0.01022561639547348","0.01022561639547348","0.01022561639547348"
"23","0.0099131278693676","0.0099131278693676","0.0099131278693676"
"24","0.009615766815841198","0.009615766815841198","0.009615766815841198"
"25","0.009337061084806919","0.009337061084806919","0.009337061084806919"
"26","0.009070852771401405","0.009070852771401405","0.009070852771401405"
"27","0.008828340098261833","0.008828340098261833","0.008828340098261833"
"28","0.008595231920480728","0.008595231920480728","0.008595231920480728"
"29","0.008370009250938892","0.008370009250938892","0.008370009250938892"
"30","0.0081588514149189","0.0081588514149189","0.0081588514149189"
"31","0.007957025431096554","0.007957025431096554","0.007957025431096554"
"32","0.007760366424918175","0.007760366424918175","0.007760366424918175"
"33","0.007579350378364325","0.007579350378364325","0.007579350378364325"
"34","0.007407058496028185","0.007407058496028185","0.007407058496028185"
"35","0.0072417063638567924","0.0072417063638567924","0.0072417063638567924"
"36","0.007084665820002556","0.007084665820002556","0.007084665820002556"
"37","0.006933953147381544","0.006933953147381544","0.006933953147381544"
"38","0.0067934272810816765","0.0067934272810816765","0.0067934272810816765"
"39","0.006656004581600428","0.006656004581600428","0.006656004581600428"
"40","0.006519508082419634","0.006519508082419634","0.006519508082419634"
"41","0.0063986750319600105","0.0063986750319600105","0.0063986750319600105"
"42","0.006277567241340876","0.006277567241340876","0.006277567241340876"
"43","0.006163393147289753","0.006163393147289753","0.006163393147289753"
"44","0.006057639606297016","0.006057639606297016","0.006057639606297016"
"45","0.005948173813521862","0.005948173813521862","0.005948173813521862"
"46","0.005853516515344381","0.005853516515344381","0.005853516515344381"
"47","0.005757238250225782","0.005757238250225782","0.005757238250225782"
"48","0.005662448238581419","0.005662448238581419","0.005662448238581419"
"49","0.00557195907458663","0.00557195907458663","0.00557195907458663"
"50","0.005483992397785187","0.005483992397785187","0.005483992397785187"
"51","0.005397160071879625","0.005397160071879625","0.005397160071879625"
"52","0.005316806957125664","0.005316806957125664","0.005316806957125664"
"53","0.005235661286860704","0.005235661286860704","0.005235661286860704"
"54","0.005157291889190674","0.005157291889190674","0.005157291889190674"
"55","0.005084632430225611","0.005084632430225611","0.005084632430225611"
"56","0.0050139944069087505","0.0050139944069087505","0.0050139944069087505"
"57","0.0049409023486077785","0.0049409023486077785","0.0049409023486077785"
"58","0.004878878593444824","0.004878878593444824","0.004878878593444824"
"59","0.004809103440493345","0.004809103440493345","0.004809103440493345"
"60","0.004745044279843569","0.004745044279843569","0.004745044279843569"
"61","0.004683899227529764","0.004683899227529764","0.004683899227529764"
"62","0.004628810100257397","0.004628810100257397","0.004628810100257397"
