Epoch,NRC1,NRC2,Train Loss,Test Loss,,,,,,,,
58,0.088800166,0.035006218,4.888968077,8.746936202,,,,,,,,
59,0.061681516,0.027646035,4.995605443,6.659306407,,,,,,,,
60,0.103046479,0.035190657,4.280343186,6.667962551,,,,,,,,
61,0.066498436,0.038141044,4.988504574,6.66391772,,,,,,,,
62,0.060561748,0.029103367,4.596672952,6.713100493,,,,,,,,
63,0.061145955,0.039139007,3.913010005,6.511393356,,,,,,,,
64,0.096840226,0.021382,4.762354773,6.671949744,,,,,,,,
65,0.065270798,0.022495741,5.377977621,6.735423803,,,,,,,,
66,0.062314045,0.024493878,5.083747208,6.762825072,,,,,,,,
67,0.056907153,0.029929016,4.275225569,6.667919278,,,,,,,,
68,0.057782426,0.029145695,5.012556911,6.709288061,,,,,,,,
69,0.055650065,0.038076926,3.871688386,6.599107683,,,,,,,,
70,0.068334441,0.034196181,4.377352539,6.628540039,,,,,,,,
71,0.062159684,0.033663431,4.937786143,6.766827881,,,,,,,,
72,0.076584056,0.031913979,3.592736553,6.73855865,,,,,,,,
73,0.066158227,0.040887302,3.91926663,6.761961102,,,,,,,,
74,0.064343183,0.034441663,4.570475314,6.54665184,,,,,,,,
75,0.056458059,0.02899112,3.835047828,6.549796402,,,,,,,,
76,0.066774911,0.043909187,4.383175168,6.685329378,,,,,,,,
77,0.060143058,0.029139323,3.997103311,6.713476479,,,,,,,,
78,0.07127081,0.040815303,3.728152951,6.575789452,,,,,,,,
79,0.064157362,0.029196665,4.710519686,6.689690948,,,,,,,,
80,0.060885214,0.026628198,3.727400443,6.78693974,,,,,,,,
81,0.079051985,0.033790585,4.248294979,6.725085795,,,,,,,,
82,0.059218221,0.04301556,3.899536328,6.617844582,,,,,,,,
83,0.057689662,0.016236955,3.784300527,6.621521473,,,,,,,,
84,0.056382579,0.021197526,4.225702025,6.67498666,,,,,,,,
85,0.05608183,0.024234061,3.46915517,6.740834415,,,,,,,,
86,0.050869148,0.02868215,4.555257037,6.643388927,,,,,,,,
87,0.055248636,0.033943905,4.384724423,6.755705476,,,,,,,,
88,0.061738478,0.025893813,3.34719196,6.615934551,,,,,,,,
89,0.060785808,0.031133522,2.965837019,6.738636613,,,,,,,,
90,0.054544955,0.020136914,3.694665205,6.691376388,,,,,,,,
91,0.061023419,0.028109268,3.554769819,6.667737305,,,,,,,,
92,0.070370961,0.026629914,3.729453847,6.600049078,,,,,,,,
93,0.056695603,0.022209361,3.731198436,6.743881702,,,,,,,,
94,0.055039402,0.029884063,3.429984856,5.603117287,,,,,,,,
95,0.057357166,0.016524901,3.450045781,6.703824341,,,,,,,,
96,0.05758195,0.031395864,3.484754751,5.779228151,,,,,,,,
97,0.058184324,0.036222551,3.224333446,5.684007645,,,,,,,,
98,0.061946929,0.027868044,3.358656052,5.668123722,,,,,,,,
99,0.055058832,0.02143239,3.219984105,5.783888161,,,,,,,,
100,0.0593761,0.03839045,3.316603094,5.771115661,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
