Epoch,NRC1,NRC2,Train Loss,Test Loss,,,,,,,,
1,0.449579328,3.4983635,99.654065,117.833046,,,,,,,,
2,0.332520664,2.852302,87.5855501,109.0878448,,,,,,,,
3,0.297142237,2.5447774,85.27823476,120.5538177,,,,,,,,
4,0.223876,2.423437,80.29782537,119.2190247,,,,,,,,
5,0.198624373,2.138236,78.82089168,112.1526337,,,,,,,,
6,0.201952502,2.0136983,68.00756603,116.3837662,,,,,,,,
7,0.20441103,1.8544862,58.44232813,111.0964355,,,,,,,,
8,0.201843306,1.7967237,74.7891663,107.8697891,,,,,,,,
9,0.210655764,1.7804791,68.05028223,103.898674,,,,,,,,
10,0.211428955,1.8025825,61.80861029,105.1281738,,,,,,,,
11,0.2112609,1.796091,55.42212889,100.2610245,,,,,,,,
12,0.211152107,1.7877693,47.83628402,99.9952774,,,,,,,,
13,0.209635675,1.583293983,43.72341079,99.57505035,,,,,,,,
14,0.215360344,0.979879699,43.81853342,102.0936356,,,,,,,,
15,0.204386324,0.761465023,39.86405193,94.29991913,,,,,,,,
16,0.19956775,0.745322118,39.37924504,89.42786407,,,,,,,,
17,0.190577596,0.833921084,39.09159524,82.97554016,,,,,,,,
18,0.171596989,0.859862397,39.55239376,80.48002625,,,,,,,,
19,0.142815188,0.876738498,41.3877312,78.93078613,,,,,,,,
20,0.152196258,0.817364762,45.60024326,76.79308319,,,,,,,,
21,0.14149718,0.884385417,44.26686032,72.37766266,,,,,,,,
22,0.140079126,0.815728197,44.08169708,74.75286865,,,,,,,,
23,0.101607837,0.738708386,42.70254393,73.94654846,,,,,,,,
24,0.106745742,0.856653163,39.6338868,71.54869843,,,,,,,,
25,0.101922654,0.74359555,38.57236968,65.41382599,,,,,,,,
26,0.108570166,0.638800809,35.3096628,62.22409821,,,,,,,,
27,0.105943717,0.538360009,32.43690495,62.34802246,,,,,,,,
28,0.111666814,0.535908709,30.4014124,66.61919403,,,,,,,,
29,0.111111902,0.630532572,29.67680804,58.33934021,,,,,,,,
30,0.11184796,0.434290538,26.00043453,56.60044098,,,,,,,,
31,0.111487493,0.440354297,20.21833323,56.08215332,,,,,,,,
32,0.11200843,0.468789855,19.94690858,53.66712189,,,,,,,,
33,0.111703306,0.34269915,29.54521875,46.67768097,,,,,,,,
34,0.113504581,0.29274405,27.5263155,40.69685173,,,,,,,,
35,0.116127268,0.402790049,25.91257202,39.6172536,,,,,,,,
36,0.108810052,0.337746838,23.17540948,37.75750071,,,,,,,,
37,0.105728298,0.258053342,20.38352589,36.69448012,,,,,,,,
38,0.105591387,0.246349851,18.7573091,37.66184324,,,,,,,,
39,0.100507297,0.261707762,17.73171798,34.75514203,,,,,,,,
40,0.101457775,0.222622628,16.69516709,32.68676537,,,,,,,,
41,0.090410583,0.25416241,16.50277689,31.78416234,,,,,,,,
42,0.091111258,0.194028044,16.51364026,28.58807456,,,,,,,,
43,0.085532571,0.149802665,16.72301757,25.64661926,,,,,,,,
44,0.094840678,0.117659131,12.94968743,22.64221853,,,,,,,,
45,0.093601181,0.08595221,11.45753916,19.7299161,,,,,,,,
46,0.081090617,0.062960552,12.29493041,17.67704552,,,,,,,,
47,0.097246681,0.038242184,10.05891524,16.77923399,,,,,,,,
48,0.085031098,0.02578295,8.215614595,14.66070503,,,,,,,,
49,0.075891484,0.029674039,9.033354931,12.66432405,,,,,,,,
50,0.079157863,0.024797306,6.176325958,13.57150549,,,,,,,,
51,0.065280225,0.045013702,6.994586904,12.698246,,,,,,,,
52,0.066074881,0.036444301,4.710893612,11.54860038,,,,,,,,
53,0.073718261,0.0369114,6.554746069,10.67390788,,,,,,,,
54,0.06199044,0.036756642,4.851045553,10.57258385,,,,,,,,
55,0.073533823,0.038744169,5.17469272,10.73394114,,,,,,,,
56,0.059941192,0.039733634,4.226543941,10.63300693,,,,,,,,
57,0.062132351,0.036117962,5.171555094,9.749061286,,,,,,,,
