"Step","Eswimmer_Mnull_DS1000_W0.01_lr0.01 - train.prediction_error","Eswimmer_Mnull_DS1000_W0.01_lr0.01 - train.prediction_error__MIN","Eswimmer_Mnull_DS1000_W0.01_lr0.01 - train.prediction_error__MAX"
"0","1.288953423500061","1.288953423500061","1.288953423500061"
"1","0.21740271151065826","0.21740271151065826","0.21740271151065826"
"2","0.18719488382339478","0.18719488382339478","0.18719488382339478"
"3","0.16819298267364502","0.16819298267364502","0.16819298267364502"
"4","0.15336790680885315","0.15336790680885315","0.15336790680885315"
"5","0.14161330461502075","0.14161330461502075","0.14161330461502075"
"6","0.1323186755180359","0.1323186755180359","0.1323186755180359"
"7","0.125083789229393","0.125083789229393","0.125083789229393"
"8","0.11951454728841782","0.11951454728841782","0.11951454728841782"
"9","0.11544976383447647","0.11544976383447647","0.11544976383447647"
"10","0.11235225945711136","0.11235225945711136","0.11235225945711136"
"11","0.10989950597286224","0.10989950597286224","0.10989950597286224"
"12","0.10795874148607254","0.10795874148607254","0.10795874148607254"
"13","0.10640203207731247","0.10640203207731247","0.10640203207731247"
"14","0.10513009876012802","0.10513009876012802","0.10513009876012802"
"15","0.1040346547961235","0.1040346547961235","0.1040346547961235"
"16","0.1030445471405983","0.1030445471405983","0.1030445471405983"
"17","0.10226697474718094","0.10226697474718094","0.10226697474718094"
"18","0.10159914940595627","0.10159914940595627","0.10159914940595627"
"19","0.10104779899120331","0.10104779899120331","0.10104779899120331"
"20","0.10056173801422119","0.10056173801422119","0.10056173801422119"
"21","0.10014249384403229","0.10014249384403229","0.10014249384403229"
"22","0.0997883528470993","0.0997883528470993","0.0997883528470993"
"23","0.09945564717054367","0.09945564717054367","0.09945564717054367"
"24","0.09915531426668167","0.09915531426668167","0.09915531426668167"
"25","0.09889215230941772","0.09889215230941772","0.09889215230941772"
"26","0.09867490828037262","0.09867490828037262","0.09867490828037262"
"27","0.09847549349069595","0.09847549349069595","0.09847549349069595"
"28","0.09832341223955154","0.09832341223955154","0.09832341223955154"
"29","0.09819727391004562","0.09819727391004562","0.09819727391004562"
"30","0.09808455407619476","0.09808455407619476","0.09808455407619476"
"31","0.09800025075674057","0.09800025075674057","0.09800025075674057"
"32","0.09792093932628632","0.09792093932628632","0.09792093932628632"
"33","0.09780214726924896","0.09780214726924896","0.09780214726924896"
"34","0.09771300852298737","0.09771300852298737","0.09771300852298737"
"35","0.09756781905889511","0.09756781905889511","0.09756781905889511"
"36","0.09748350083827972","0.09748350083827972","0.09748350083827972"
"37","0.09739121049642563","0.09739121049642563","0.09739121049642563"
"38","0.09731479734182358","0.09731479734182358","0.09731479734182358"
"39","0.09725449979305267","0.09725449979305267","0.09725449979305267"
"40","0.09721849858760834","0.09721849858760834","0.09721849858760834"
"41","0.09716955572366714","0.09716955572366714","0.09716955572366714"
"42","0.09713961184024811","0.09713961184024811","0.09713961184024811"
"43","0.09711947292089462","0.09711947292089462","0.09711947292089462"
"44","0.09710317850112915","0.09710317850112915","0.09710317850112915"
"45","0.09710666537284851","0.09710666537284851","0.09710666537284851"
"46","0.09707126021385193","0.09707126021385193","0.09707126021385193"
"47","0.09705395251512527","0.09705395251512527","0.09705395251512527"
"48","0.09704172611236572","0.09704172611236572","0.09704172611236572"
"49","0.09702146053314209","0.09702146053314209","0.09702146053314209"
"50","0.09699460119009018","0.09699460119009018","0.09699460119009018"
"51","0.09695935994386673","0.09695935994386673","0.09695935994386673"
"52","0.09692110866308212","0.09692110866308212","0.09692110866308212"
"53","0.09688525646924973","0.09688525646924973","0.09688525646924973"
"54","0.0968528762459755","0.0968528762459755","0.0968528762459755"
"55","0.09679773449897766","0.09679773449897766","0.09679773449897766"
"56","0.09673327952623367","0.09673327952623367","0.09673327952623367"
"57","0.0966833084821701","0.0966833084821701","0.0966833084821701"
"58","0.09663563966751099","0.09663563966751099","0.09663563966751099"
"59","0.0966101735830307","0.0966101735830307","0.0966101735830307"
"60","0.09656386077404022","0.09656386077404022","0.09656386077404022"
"61","0.09651695191860199","0.09651695191860199","0.09651695191860199"
"62","0.09646941721439362","0.09646941721439362","0.09646941721439362"
"63","0.09643672406673431","0.09643672406673431","0.09643672406673431"
"64","0.09640097618103027","0.09640097618103027","0.09640097618103027"
"65","0.0963672623038292","0.0963672623038292","0.0963672623038292"
"66","0.09633029252290726","0.09633029252290726","0.09633029252290726"
"67","0.09629553556442261","0.09629553556442261","0.09629553556442261"
"68","0.09625484049320221","0.09625484049320221","0.09625484049320221"
"69","0.09622728824615479","0.09622728824615479","0.09622728824615479"
"70","0.09617902338504791","0.09617902338504791","0.09617902338504791"
"71","0.09616395831108093","0.09616395831108093","0.09616395831108093"
"72","0.09611376374959946","0.09611376374959946","0.09611376374959946"
"73","0.09607849270105362","0.09607849270105362","0.09607849270105362"
"74","0.09603124856948853","0.09603124856948853","0.09603124856948853"
"75","0.09600374102592468","0.09600374102592468","0.09600374102592468"
"76","0.09596823900938034","0.09596823900938034","0.09596823900938034"
"77","0.09590677171945572","0.09590677171945572","0.09590677171945572"
"78","0.09586941450834274","0.09586941450834274","0.09586941450834274"
"79","0.09583047032356262","0.09583047032356262","0.09583047032356262"
"80","0.095811627805233","0.095811627805233","0.095811627805233"
"81","0.09575852006673813","0.09575852006673813","0.09575852006673813"
"82","0.09574250131845474","0.09574250131845474","0.09574250131845474"
"83","0.09569704532623291","0.09569704532623291","0.09569704532623291"
"84","0.09565847367048264","0.09565847367048264","0.09565847367048264"
"85","0.09561274200677872","0.09561274200677872","0.09561274200677872"
"86","0.09557671844959259","0.09557671844959259","0.09557671844959259"
