"Step","Eswimmer_Mnull_DS1000_W0.009_lr0.01 - train.NRC1","Eswimmer_Mnull_DS1000_W0.009_lr0.01 - train.NRC1__MIN","Eswimmer_Mnull_DS1000_W0.009_lr0.01 - train.NRC1__MAX"
"0","1.3790313324774761","1.3790313324774761","1.3790313324774761"
"1","1.3853699502261005","1.3853699502261005","1.3853699502261005"
"2","1.2130591410877096","1.2130591410877096","1.2130591410877096"
"3","1.0985164581073914","1.0985164581073914","1.0985164581073914"
"4","1.0018929611619716","1.0018929611619716","1.0018929611619716"
"5","0.9125492029812049","0.9125492029812049","0.9125492029812049"
"6","0.8342221465194598","0.8342221465194598","0.8342221465194598"
"7","0.7680572715666821","0.7680572715666821","0.7680572715666821"
"8","0.7121215677370819","0.7121215677370819","0.7121215677370819"
"9","0.6584536031565076","0.6584536031565076","0.6584536031565076"
"10","0.6105651084072633","0.6105651084072633","0.6105651084072633"
"11","0.5692030624028157","0.5692030624028157","0.5692030624028157"
"12","0.532227438069127","0.532227438069127","0.532227438069127"
"13","0.4965867895320443","0.4965867895320443","0.4965867895320443"
"14","0.46384395824898095","0.46384395824898095","0.46384395824898095"
"15","0.4324929531706184","0.4324929531706184","0.4324929531706184"
"16","0.4035753826805776","0.4035753826805776","0.4035753826805776"
"17","0.37807990065194097","0.37807990065194097","0.37807990065194097"
"18","0.3543026705319644","0.3543026705319644","0.3543026705319644"
"19","0.33200006945949645","0.33200006945949645","0.33200006945949645"
"20","0.3121006428218825","0.3121006428218825","0.3121006428218825"
"21","0.2938531405788708","0.2938531405788708","0.2938531405788708"
"22","0.27748429319128626","0.27748429319128626","0.27748429319128626"
"23","0.2616855803353283","0.2616855803353283","0.2616855803353283"
"24","0.24694174709046274","0.24694174709046274","0.24694174709046274"
"25","0.23329377015127192","0.23329377015127192","0.23329377015127192"
"26","0.2209343946745512","0.2209343946745512","0.2209343946745512"
"27","0.20969855846487917","0.20969855846487917","0.20969855846487917"
"28","0.19944340191343599","0.19944340191343599","0.19944340191343599"
"29","0.19008083486351915","0.19008083486351915","0.19008083486351915"
"30","0.18134511442267467","0.18134511442267467","0.18134511442267467"
"31","0.17323256259183928","0.17323256259183928","0.17323256259183928"
"32","0.1660978525868304","0.1660978525868304","0.1660978525868304"
"33","0.1593640655615318","0.1593640655615318","0.1593640655615318"
"34","0.15300878097394252","0.15300878097394252","0.15300878097394252"
"35","0.14703970077846407","0.14703970077846407","0.14703970077846407"
"36","0.14155686117953245","0.14155686117953245","0.14155686117953245"
"37","0.13665018157348094","0.13665018157348094","0.13665018157348094"
"38","0.13208413940774336","0.13208413940774336","0.13208413940774336"
"39","0.1278376637442889","0.1278376637442889","0.1278376637442889"
"40","0.12397914025964929","0.12397914025964929","0.12397914025964929"
"41","0.12055050520181249","0.12055050520181249","0.12055050520181249"
"42","0.11738997212969479","0.11738997212969479","0.11738997212969479"
"43","0.11429401415110624","0.11429401415110624","0.11429401415110624"
"44","0.11122828439415025","0.11122828439415025","0.11122828439415025"
"45","0.10842779067127048","0.10842779067127048","0.10842779067127048"
"46","0.10569349285757289","0.10569349285757289","0.10569349285757289"
"47","0.1032638151573483","0.1032638151573483","0.1032638151573483"
"48","0.10089614470809556","0.10089614470809556","0.10089614470809556"
"49","0.0987003487265647","0.0987003487265647","0.0987003487265647"
"50","0.0966106188586573","0.0966106188586573","0.0966106188586573"
"51","0.09468673624005533","0.09468673624005533","0.09468673624005533"
"52","0.09276136968415903","0.09276136968415903","0.09276136968415903"
"53","0.09097624767199158","0.09097624767199158","0.09097624767199158"
"54","0.08918919465033923","0.08918919465033923","0.08918919465033923"
"55","0.08753514543968777","0.08753514543968777","0.08753514543968777"
"56","0.0860850334083807","0.0860850334083807","0.0860850334083807"
"57","0.08472222699224949","0.08472222699224949","0.08472222699224949"
"58","0.08333927995879004","0.08333927995879004","0.08333927995879004"
"59","0.08211184649852749","0.08211184649852749","0.08211184649852749"
"60","0.08094109652802581","0.08094109652802581","0.08094109652802581"
"61","0.07981243706263194","0.07981243706263194","0.07981243706263194"
"62","0.07868215961243549","0.07868215961243549","0.07868215961243549"
"63","0.07757843797514306","0.07757843797514306","0.07757843797514306"
"64","0.0764932550665435","0.0764932550665435","0.0764932550665435"
"65","0.07542361674853601","0.07542361674853601","0.07542361674853601"
"66","0.07445711786575065","0.07445711786575065","0.07445711786575065"
"67","0.07346876183467975","0.07346876183467975","0.07346876183467975"
"68","0.0725039153257385","0.0725039153257385","0.0725039153257385"
"69","0.07153236286052651","0.07153236286052651","0.07153236286052651"
"70","0.07053908678543758","0.07053908678543758","0.07053908678543758"
"71","0.06961512443760967","0.06961512443760967","0.06961512443760967"
"72","0.0686501036981972","0.0686501036981972","0.0686501036981972"
"73","0.06769040605588907","0.06769040605588907","0.06769040605588907"
"74","0.06669667712066803","0.06669667712066803","0.06669667712066803"
"75","0.06577600804450048","0.06577600804450048","0.06577600804450048"
"76","0.06481824203714859","0.06481824203714859","0.06481824203714859"
"77","0.06389705985919228","0.06389705985919228","0.06389705985919228"
"78","0.06299274887371667","0.06299274887371667","0.06299274887371667"
"79","0.06207550313316665","0.06207550313316665","0.06207550313316665"
"80","0.06119952225938414","0.06119952225938414","0.06119952225938414"
"81","0.06033360319804365","0.06033360319804365","0.06033360319804365"
"82","0.059484297944905846","0.059484297944905846","0.059484297944905846"
"83","0.0586307526432247","0.0586307526432247","0.0586307526432247"
"84","0.057793757067007394","0.057793757067007394","0.057793757067007394"
"85","0.05695763980719585","0.05695763980719585","0.05695763980719585"
"86","0.056164537967553996","0.056164537967553996","0.056164537967553996"
"87","0.05537334183865118","0.05537334183865118","0.05537334183865118"
"88","0.05457672453814871","0.05457672453814871","0.05457672453814871"
"89","0.05381617489474957","0.05381617489474957","0.05381617489474957"
"90","0.05310146267829987","0.05310146267829987","0.05310146267829987"
"91","0.052408282791693864","0.052408282791693864","0.052408282791693864"
"92","0.05172526055062576","0.05172526055062576","0.05172526055062576"
"93","0.051055971813441146","0.051055971813441146","0.051055971813441146"
"94","0.05040694493154297","0.05040694493154297","0.05040694493154297"
"95","0.04974476153948581","0.04974476153948581","0.04974476153948581"
"96","0.04908327490649958","0.04908327490649958","0.04908327490649958"
