"Step","Eswimmer_Mnull_DS1000_W0.009_lr0.01 - train.proj_error_H2W","Eswimmer_Mnull_DS1000_W0.009_lr0.01 - train.proj_error_H2W__MIN","Eswimmer_Mnull_DS1000_W0.009_lr0.01 - train.proj_error_H2W__MAX"
"0","0.007313934154808521","0.007313934154808521","0.007313934154808521"
"1","0.014921070076525211","0.014921070076525211","0.014921070076525211"
"2","0.01383726205676794","0.01383726205676794","0.01383726205676794"
"3","0.012584932148456573","0.012584932148456573","0.012584932148456573"
"4","0.011680850759148598","0.011680850759148598","0.011680850759148598"
"5","0.010992409661412239","0.010992409661412239","0.010992409661412239"
"6","0.010421455837786198","0.010421455837786198","0.010421455837786198"
"7","0.009929143823683262","0.009929143823683262","0.009929143823683262"
"8","0.00947334710508585","0.00947334710508585","0.00947334710508585"
"9","0.009043702855706215","0.009043702855706215","0.009043702855706215"
"10","0.008608490228652954","0.008608490228652954","0.008608490228652954"
"11","0.008190740831196308","0.008190740831196308","0.008190740831196308"
"12","0.00778081314638257","0.00778081314638257","0.00778081314638257"
"13","0.007375793065875769","0.007375793065875769","0.007375793065875769"
"14","0.006976132281124592","0.006976132281124592","0.006976132281124592"
"15","0.0066030933521687984","0.0066030933521687984","0.0066030933521687984"
"16","0.006252732127904892","0.006252732127904892","0.006252732127904892"
"17","0.00592863978818059","0.00592863978818059","0.00592863978818059"
"18","0.005628090817481279","0.005628090817481279","0.005628090817481279"
"19","0.00534719368442893","0.00534719368442893","0.00534719368442893"
"20","0.005088891368359327","0.005088891368359327","0.005088891368359327"
"21","0.0048509202897548676","0.0048509202897548676","0.0048509202897548676"
"22","0.004621255677193403","0.004621255677193403","0.004621255677193403"
"23","0.004407479427754879","0.004407479427754879","0.004407479427754879"
"24","0.00420768978074193","0.00420768978074193","0.00420768978074193"
"25","0.004020496737211943","0.004020496737211943","0.004020496737211943"
"26","0.003843072336167097","0.003843072336167097","0.003843072336167097"
"27","0.0036848110612481833","0.0036848110612481833","0.0036848110612481833"
"28","0.003536937525495887","0.003536937525495887","0.003536937525495887"
"29","0.0033998803701251745","0.0033998803701251745","0.0033998803701251745"
"30","0.003272060537710786","0.003272060537710786","0.003272060537710786"
"31","0.0031512617133557796","0.0031512617133557796","0.0031512617133557796"
"32","0.0030372492037713528","0.0030372492037713528","0.0030372492037713528"
