"Step","Eswimmer_Mnull_DS1000_W0.009_lr0.01 - validation.prediction_error","Eswimmer_Mnull_DS1000_W0.009_lr0.01 - validation.prediction_error__MIN","Eswimmer_Mnull_DS1000_W0.009_lr0.01 - validation.prediction_error__MAX"
"0","1.4226216077804565","1.4226216077804565","1.4226216077804565"
"1","0.4925260543823242","0.4925260543823242","0.4925260543823242"
"2","0.4385616183280945","0.4385616183280945","0.4385616183280945"
"3","0.3836084008216858","0.3836084008216858","0.3836084008216858"
"4","0.33437851071357727","0.33437851071357727","0.33437851071357727"
"5","0.293517529964447","0.293517529964447","0.293517529964447"
"6","0.26319196820259094","0.26319196820259094","0.26319196820259094"
"7","0.24098548293113708","0.24098548293113708","0.24098548293113708"
"8","0.2249794751405716","0.2249794751405716","0.2249794751405716"
"9","0.2135034203529358","0.2135034203529358","0.2135034203529358"
"10","0.2048814743757248","0.2048814743757248","0.2048814743757248"
"11","0.19806943833827972","0.19806943833827972","0.19806943833827972"
"12","0.19205139577388763","0.19205139577388763","0.19205139577388763"
"13","0.1878957897424698","0.1878957897424698","0.1878957897424698"
"14","0.18412673473358154","0.18412673473358154","0.18412673473358154"
"15","0.1818254441022873","0.1818254441022873","0.1818254441022873"
"16","0.17981398105621338","0.17981398105621338","0.17981398105621338"
"17","0.17807359993457794","0.17807359993457794","0.17807359993457794"
"18","0.17648302018642426","0.17648302018642426","0.17648302018642426"
"19","0.17540234327316284","0.17540234327316284","0.17540234327316284"
"20","0.17405375838279724","0.17405375838279724","0.17405375838279724"
"21","0.17310388386249542","0.17310388386249542","0.17310388386249542"
"22","0.17133775353431702","0.17133775353431702","0.17133775353431702"
"23","0.1706225723028183","0.1706225723028183","0.1706225723028183"
"24","0.16996806859970093","0.16996806859970093","0.16996806859970093"
"25","0.16935023665428162","0.16935023665428162","0.16935023665428162"
"26","0.16824708878993988","0.16824708878993988","0.16824708878993988"
"27","0.1678043007850647","0.1678043007850647","0.1678043007850647"
"28","0.1674058735370636","0.1674058735370636","0.1674058735370636"
"29","0.16666418313980103","0.16666418313980103","0.16666418313980103"
"30","0.16641001403331757","0.16641001403331757","0.16641001403331757"
"31","0.16648395359516144","0.16648395359516144","0.16648395359516144"
"32","0.16563257575035095","0.16563257575035095","0.16563257575035095"
"33","0.1652158796787262","0.1652158796787262","0.1652158796787262"
"34","0.16494451463222504","0.16494451463222504","0.16494451463222504"
"35","0.1647631675004959","0.1647631675004959","0.1647631675004959"
"36","0.16460086405277252","0.16460086405277252","0.16460086405277252"
"37","0.1643640398979187","0.1643640398979187","0.1643640398979187"
"38","0.16424360871315002","0.16424360871315002","0.16424360871315002"
"39","0.1643027812242508","0.1643027812242508","0.1643027812242508"
"40","0.1638903170824051","0.1638903170824051","0.1638903170824051"
"41","0.1637752503156662","0.1637752503156662","0.1637752503156662"
"42","0.1634267419576645","0.1634267419576645","0.1634267419576645"
"43","0.16350562870502472","0.16350562870502472","0.16350562870502472"
"44","0.16358764469623566","0.16358764469623566","0.16358764469623566"
"45","0.16290533542633057","0.16290533542633057","0.16290533542633057"
"46","0.16310587525367737","0.16310587525367737","0.16310587525367737"
"47","0.1626422256231308","0.1626422256231308","0.1626422256231308"
"48","0.16243904829025269","0.16243904829025269","0.16243904829025269"
"49","0.1620713770389557","0.1620713770389557","0.1620713770389557"
"50","0.16186842322349548","0.16186842322349548","0.16186842322349548"
"51","0.1615162044763565","0.1615162044763565","0.1615162044763565"
"52","0.16162386536598206","0.16162386536598206","0.16162386536598206"
"53","0.16128629446029663","0.16128629446029663","0.16128629446029663"
"54","0.16108287870883942","0.16108287870883942","0.16108287870883942"
"55","0.1612596958875656","0.1612596958875656","0.1612596958875656"
"56","0.16095830500125885","0.16095830500125885","0.16095830500125885"
"57","0.1606791913509369","0.1606791913509369","0.1606791913509369"
"58","0.16097642481327057","0.16097642481327057","0.16097642481327057"
"59","0.16024406254291534","0.16024406254291534","0.16024406254291534"
"60","0.16022232174873352","0.16022232174873352","0.16022232174873352"
"61","0.16022558510303497","0.16022558510303497","0.16022558510303497"
"62","0.16026778519153595","0.16026778519153595","0.16026778519153595"
"63","0.16022811830043793","0.16022811830043793","0.16022811830043793"
"64","0.15992921590805054","0.15992921590805054","0.15992921590805054"
"65","0.1601431667804718","0.1601431667804718","0.1601431667804718"
"66","0.15980534255504608","0.15980534255504608","0.15980534255504608"
"67","0.15974093973636627","0.15974093973636627","0.15974093973636627"
"68","0.1597220003604889","0.1597220003604889","0.1597220003604889"
"69","0.1596044898033142","0.1596044898033142","0.1596044898033142"
"70","0.15976975858211517","0.15976975858211517","0.15976975858211517"
"71","0.15944327414035797","0.15944327414035797","0.15944327414035797"
"72","0.15968628227710724","0.15968628227710724","0.15968628227710724"
"73","0.1594880223274231","0.1594880223274231","0.1594880223274231"
"74","0.15983720123767853","0.15983720123767853","0.15983720123767853"
"75","0.15948420763015747","0.15948420763015747","0.15948420763015747"
"76","0.15947680175304413","0.15947680175304413","0.15947680175304413"
"77","0.1597118228673935","0.1597118228673935","0.1597118228673935"
"78","0.15962189435958862","0.15962189435958862","0.15962189435958862"
"79","0.15983495116233826","0.15983495116233826","0.15983495116233826"
"80","0.1598275899887085","0.1598275899887085","0.1598275899887085"
"81","0.15974758565425873","0.15974758565425873","0.15974758565425873"
"82","0.15954053401947021","0.15954053401947021","0.15954053401947021"
"83","0.15977293252944946","0.15977293252944946","0.15977293252944946"
"84","0.15980662405490875","0.15980662405490875","0.15980662405490875"
"85","0.16001884639263153","0.16001884639263153","0.16001884639263153"
"86","0.15978577733039856","0.15978577733039856","0.15978577733039856"
"87","0.15995284914970398","0.15995284914970398","0.15995284914970398"
"88","0.16004009544849396","0.16004009544849396","0.16004009544849396"
"89","0.1600901037454605","0.1600901037454605","0.1600901037454605"
"90","0.1600678563117981","0.1600678563117981","0.1600678563117981"
"91","0.16017279028892517","0.16017279028892517","0.16017279028892517"
"92","0.16023479402065277","0.16023479402065277","0.16023479402065277"
"93","0.1604137420654297","0.1604137420654297","0.1604137420654297"
"94","0.16020148992538452","0.16020148992538452","0.16020148992538452"
"95","0.16076934337615967","0.16076934337615967","0.16076934337615967"
"96","0.16049771010875702","0.16049771010875702","0.16049771010875702"
"97","0.16060632467269897","0.16060632467269897","0.16060632467269897"
"98","0.16057032346725464","0.16057032346725464","0.16057032346725464"
"99","0.16062618792057037","0.16062618792057037","0.16062618792057037"
"100","0.16077281534671783","0.16077281534671783","0.16077281534671783"
"101","0.16063304245471954","0.16063304245471954","0.16063304245471954"
"102","0.16109533607959747","0.16109533607959747","0.16109533607959747"
"103","0.16123901307582855","0.16123901307582855","0.16123901307582855"
"104","0.16111937165260315","0.16111937165260315","0.16111937165260315"
"105","0.1614035665988922","0.1614035665988922","0.1614035665988922"
"106","0.16138021647930145","0.16138021647930145","0.16138021647930145"
"107","0.1616756021976471","0.1616756021976471","0.1616756021976471"
"108","0.16152849793434143","0.16152849793434143","0.16152849793434143"
"109","0.1617080271244049","0.1617080271244049","0.1617080271244049"
"110","0.16172979772090912","0.16172979772090912","0.16172979772090912"
"111","0.16175240278244019","0.16175240278244019","0.16175240278244019"
"112","0.16191338002681732","0.16191338002681732","0.16191338002681732"
"113","0.16185326874256134","0.16185326874256134","0.16185326874256134"
"114","0.1620239019393921","0.1620239019393921","0.1620239019393921"
"115","0.1621798276901245","0.1621798276901245","0.1621798276901245"
"116","0.1623324453830719","0.1623324453830719","0.1623324453830719"
"117","0.16239792108535767","0.16239792108535767","0.16239792108535767"
"118","0.16257229447364807","0.16257229447364807","0.16257229447364807"
"119","0.1626061201095581","0.1626061201095581","0.1626061201095581"
"120","0.16264547407627106","0.16264547407627106","0.16264547407627106"
"121","0.16272445023059845","0.16272445023059845","0.16272445023059845"
"122","0.16301877796649933","0.16301877796649933","0.16301877796649933"
"123","0.1629752218723297","0.1629752218723297","0.1629752218723297"
"124","0.1631539911031723","0.1631539911031723","0.1631539911031723"
"125","0.1634015589952469","0.1634015589952469","0.1634015589952469"
"126","0.16345486044883728","0.16345486044883728","0.16345486044883728"
"127","0.16339878737926483","0.16339878737926483","0.16339878737926483"
"128","0.16368559002876282","0.16368559002876282","0.16368559002876282"
"129","0.16367223858833313","0.16367223858833313","0.16367223858833313"
"130","0.16389116644859314","0.16389116644859314","0.16389116644859314"
"131","0.1638830006122589","0.1638830006122589","0.1638830006122589"
"132","0.16397109627723694","0.16397109627723694","0.16397109627723694"
"133","0.16409467160701752","0.16409467160701752","0.16409467160701752"
"134","0.1641828566789627","0.1641828566789627","0.1641828566789627"
"135","0.16431455314159393","0.16431455314159393","0.16431455314159393"
"136","0.1643865555524826","0.1643865555524826","0.1643865555524826"
"137","0.16465404629707336","0.16465404629707336","0.16465404629707336"
"138","0.1646110713481903","0.1646110713481903","0.1646110713481903"
"139","0.16452835500240326","0.16452835500240326","0.16452835500240326"
"140","0.1645526885986328","0.1645526885986328","0.1645526885986328"
"141","0.16463908553123474","0.16463908553123474","0.16463908553123474"
"142","0.16463959217071533","0.16463959217071533","0.16463959217071533"
"143","0.1648896336555481","0.1648896336555481","0.1648896336555481"
"144","0.16489088535308838","0.16489088535308838","0.16489088535308838"
"145","0.16490866243839264","0.16490866243839264","0.16490866243839264"
"146","0.16492410004138947","0.16492410004138947","0.16492410004138947"
"147","0.1652335375547409","0.1652335375547409","0.1652335375547409"
"148","0.16523465514183044","0.16523465514183044","0.16523465514183044"
"149","0.16525594890117645","0.16525594890117645","0.16525594890117645"
"150","0.16536331176757812","0.16536331176757812","0.16536331176757812"
"151","0.16538135707378387","0.16538135707378387","0.16538135707378387"
"152","0.16552065312862396","0.16552065312862396","0.16552065312862396"
"153","0.16556638479232788","0.16556638479232788","0.16556638479232788"
"154","0.16562767326831818","0.16562767326831818","0.16562767326831818"
"155","0.16556772589683533","0.16556772589683533","0.16556772589683533"
"156","0.16566400229930878","0.16566400229930878","0.16566400229930878"
"157","0.16591519117355347","0.16591519117355347","0.16591519117355347"
"158","0.16577500104904175","0.16577500104904175","0.16577500104904175"
"159","0.16576948761940002","0.16576948761940002","0.16576948761940002"
"160","0.1656360626220703","0.1656360626220703","0.1656360626220703"
"161","0.16583530604839325","0.16583530604839325","0.16583530604839325"
"162","0.1660391241312027","0.1660391241312027","0.1660391241312027"
"163","0.16600656509399414","0.16600656509399414","0.16600656509399414"
"164","0.16605588793754578","0.16605588793754578","0.16605588793754578"
"165","0.16626030206680298","0.16626030206680298","0.16626030206680298"
"166","0.16600194573402405","0.16600194573402405","0.16600194573402405"
"167","0.16603320837020874","0.16603320837020874","0.16603320837020874"
"168","0.16632895171642303","0.16632895171642303","0.16632895171642303"
"169","0.1663091629743576","0.1663091629743576","0.1663091629743576"
"170","0.16628266870975494","0.16628266870975494","0.16628266870975494"
"171","0.16631585359573364","0.16631585359573364","0.16631585359573364"
"172","0.16639626026153564","0.16639626026153564","0.16639626026153564"
"173","0.16642610728740692","0.16642610728740692","0.16642610728740692"
"174","0.16633032262325287","0.16633032262325287","0.16633032262325287"
"175","0.1665136218070984","0.1665136218070984","0.1665136218070984"
"176","0.16639643907546997","0.16639643907546997","0.16639643907546997"
"177","0.16654254496097565","0.16654254496097565","0.16654254496097565"
"178","0.16649730503559113","0.16649730503559113","0.16649730503559113"
"179","0.16661003232002258","0.16661003232002258","0.16661003232002258"
"180","0.16660074889659882","0.16660074889659882","0.16660074889659882"
"181","0.1667564958333969","0.1667564958333969","0.1667564958333969"
