"Step","Eswimmer_Mnull_DS1000_W5e-05_lr0.01 - train.NRC1","Eswimmer_Mnull_DS1000_W5e-05_lr0.01 - train.NRC1__MIN","Eswimmer_Mnull_DS1000_W5e-05_lr0.01 - train.NRC1__MAX"
"0","1.3790313324774761","1.3790313324774761","1.3790313324774761"
"1","1.6694059173551068","1.6694059173551068","1.6694059173551068"
"2","1.721973285346816","1.721973285346816","1.721973285346816"
"3","1.8652926153811278","1.8652926153811278","1.8652926153811278"
"4","2.0177260415959752","2.0177260415959752","2.0177260415959752"
"5","2.171016997755054","2.171016997755054","2.171016997755054"
"6","2.318267258229331","2.318267258229331","2.318267258229331"
"7","2.4536251315125845","2.4536251315125845","2.4536251315125845"
"8","2.5845074134427706","2.5845074134427706","2.5845074134427706"
"9","2.711540711349866","2.711540711349866","2.711540711349866"
"10","2.812351104146932","2.812351104146932","2.812351104146932"
"11","2.9176972225981443","2.9176972225981443","2.9176972225981443"
"12","3.0208837026067923","3.0208837026067923","3.0208837026067923"
"13","3.120842578470707","3.120842578470707","3.120842578470707"
"14","3.209274969925769","3.209274969925769","3.209274969925769"
"15","3.2853916976159088","3.2853916976159088","3.2853916976159088"
"16","3.355953441185542","3.355953441185542","3.355953441185542"
"17","3.4331712129042136","3.4331712129042136","3.4331712129042136"
"18","3.4975923186862055","3.4975923186862055","3.4975923186862055"
"19","3.5587926110462864","3.5587926110462864","3.5587926110462864"
"20","3.6154963767612354","3.6154963767612354","3.6154963767612354"
"21","3.6693538249954725","3.6693538249954725","3.6693538249954725"
"22","3.7374628329731205","3.7374628329731205","3.7374628329731205"
"23","3.7774805999556555","3.7774805999556555","3.7774805999556555"
"24","3.8156385212479074","3.8156385212479074","3.8156385212479074"
"25","3.846191352256574","3.846191352256574","3.846191352256574"
"26","3.8915815035242267","3.8915815035242267","3.8915815035242267"
"27","3.919677810081281","3.919677810081281","3.919677810081281"
"28","3.9515513695791014","3.9515513695791014","3.9515513695791014"
"29","3.9855675385482754","3.9855675385482754","3.9855675385482754"
"30","4.020730841475597","4.020730841475597","4.020730841475597"
"31","4.033063460364487","4.033063460364487","4.033063460364487"
"32","4.0599838195669","4.0599838195669","4.0599838195669"
"33","4.078843199091556","4.078843199091556","4.078843199091556"
"34","4.0943663738566105","4.0943663738566105","4.0943663738566105"
"35","4.106259345859813","4.106259345859813","4.106259345859813"
"36","4.117426385078579","4.117426385078579","4.117426385078579"
"37","4.145753693161765","4.145753693161765","4.145753693161765"
"38","4.163609724971989","4.163609724971989","4.163609724971989"
"39","4.172002650443988","4.172002650443988","4.172002650443988"
"40","4.204135092015436","4.204135092015436","4.204135092015436"
"41","4.2062219306288755","4.2062219306288755","4.2062219306288755"
"42","4.224584437098878","4.224584437098878","4.224584437098878"
"43","4.21385730150179","4.21385730150179","4.21385730150179"
"44","4.216886833194644","4.216886833194644","4.216886833194644"
"45","4.236175287724473","4.236175287724473","4.236175287724473"
"46","4.231877109578403","4.231877109578403","4.231877109578403"
"47","4.235595318415202","4.235595318415202","4.235595318415202"
"48","4.2539530892206825","4.2539530892206825","4.2539530892206825"
"49","4.253827693197876","4.253827693197876","4.253827693197876"
"50","4.263165790440747","4.263165790440747","4.263165790440747"
"51","4.270111768963339","4.270111768963339","4.270111768963339"
"52","4.275805125013052","4.275805125013052","4.275805125013052"
"53","4.268403903633589","4.268403903633589","4.268403903633589"
"54","4.26913665864995","4.26913665864995","4.26913665864995"
"55","4.275470879688859","4.275470879688859","4.275470879688859"
"56","4.262857942098345","4.262857942098345","4.262857942098345"
"57","4.2754718774166545","4.2754718774166545","4.2754718774166545"
"58","4.268768777862191","4.268768777862191","4.268768777862191"
"59","4.271083001762687","4.271083001762687","4.271083001762687"
"60","4.264434163133206","4.264434163133206","4.264434163133206"
"61","4.257387269869446","4.257387269869446","4.257387269869446"
"62","4.250367094502086","4.250367094502086","4.250367094502086"
"63","4.241303386772285","4.241303386772285","4.241303386772285"
"64","4.246041835004056","4.246041835004056","4.246041835004056"
"65","4.232113358378468","4.232113358378468","4.232113358378468"
"66","4.256456420266128","4.256456420266128","4.256456420266128"
"67","4.255516713860503","4.255516713860503","4.255516713860503"
"68","4.252025578358735","4.252025578358735","4.252025578358735"
"69","4.250072640488157","4.250072640488157","4.250072640488157"
"70","4.25808721633075","4.25808721633075","4.25808721633075"
"71","4.2627065126882515","4.2627065126882515","4.2627065126882515"
"72","4.23951982347347","4.23951982347347","4.23951982347347"
"73","4.256903414486209","4.256903414486209","4.256903414486209"
"74","4.2515450125562495","4.2515450125562495","4.2515450125562495"
"75","4.254568153619767","4.254568153619767","4.254568153619767"
"76","4.278211078969995","4.278211078969995","4.278211078969995"
"77","4.265037030115724","4.265037030115724","4.265037030115724"
"78","4.268722918495769","4.268722918495769","4.268722918495769"
"79","4.2666296010429505","4.2666296010429505","4.2666296010429505"
"80","4.278793958511437","4.278793958511437","4.278793958511437"
"81","4.271270480357634","4.271270480357634","4.271270480357634"
"82","4.275480856972048","4.275480856972048","4.275480856972048"
"83","4.265462550313736","4.265462550313736","4.265462550313736"
"84","4.282433861032128","4.282433861032128","4.282433861032128"
"85","4.2843512721210715","4.2843512721210715","4.2843512721210715"
"86","4.285930462498742","4.285930462498742","4.285930462498742"
"87","4.283990726131073","4.283990726131073","4.283990726131073"
"88","4.28356128671678","4.28356128671678","4.28356128671678"
"89","4.284628932835767","4.284628932835767","4.284628932835767"
"90","4.294376724302769","4.294376724302769","4.294376724302769"
"91","4.295105705115071","4.295105705115071","4.295105705115071"
"92","4.312170896949305","4.312170896949305","4.312170896949305"
"93","4.3117129947580395","4.3117129947580395","4.3117129947580395"
"94","4.3202999486180484","4.3202999486180484","4.3202999486180484"
"95","4.298622481345723","4.298622481345723","4.298622481345723"
"96","4.304475961011136","4.304475961011136","4.304475961011136"
"97","4.318652267484518","4.318652267484518","4.318652267484518"
"98","4.324498291955388","4.324498291955388","4.324498291955388"
"99","4.338346687845478","4.338346687845478","4.338346687845478"
"100","4.326395989956567","4.326395989956567","4.326395989956567"
"101","4.348409925409593","4.348409925409593","4.348409925409593"
"102","4.330995945990086","4.330995945990086","4.330995945990086"
"103","4.316769301698136","4.316769301698136","4.316769301698136"
"104","4.3268195415139195","4.3268195415139195","4.3268195415139195"
"105","4.321381190725602","4.321381190725602","4.321381190725602"
"106","4.333691599265673","4.333691599265673","4.333691599265673"
"107","4.337017125329235","4.337017125329235","4.337017125329235"
"108","4.336169045269722","4.336169045269722","4.336169045269722"
"109","4.338207993801276","4.338207993801276","4.338207993801276"
"110","4.335494860697596","4.335494860697596","4.335494860697596"
"111","4.343512106317154","4.343512106317154","4.343512106317154"
"112","4.34299723620998","4.34299723620998","4.34299723620998"
"113","4.353872299678682","4.353872299678682","4.353872299678682"
"114","4.345529645320552","4.345529645320552","4.345529645320552"
"115","4.348443130149098","4.348443130149098","4.348443130149098"
"116","4.344879878231382","4.344879878231382","4.344879878231382"
"117","4.3558882148285045","4.3558882148285045","4.3558882148285045"
"118","4.349326624018664","4.349326624018664","4.349326624018664"
"119","4.340383132416813","4.340383132416813","4.340383132416813"
"120","4.3523682194660065","4.3523682194660065","4.3523682194660065"
"121","4.3588222953791265","4.3588222953791265","4.3588222953791265"
"122","4.333715707250871","4.333715707250871","4.333715707250871"
"123","4.356168183996401","4.356168183996401","4.356168183996401"
"124","4.351862890730205","4.351862890730205","4.351862890730205"
"125","4.339287453789788","4.339287453789788","4.339287453789788"
"126","4.344204011079913","4.344204011079913","4.344204011079913"
"127","4.353020559696539","4.353020559696539","4.353020559696539"
"128","4.340924991579959","4.340924991579959","4.340924991579959"
"129","4.359416685342788","4.359416685342788","4.359416685342788"
"130","4.338282365694234","4.338282365694234","4.338282365694234"
"131","4.3523682194660065","4.3523682194660065","4.3523682194660065"
"132","4.35706757028494","4.35706757028494","4.35706757028494"
"133","4.36813973290869","4.36813973290869","4.36813973290869"
"134","4.3708075761241485","4.3708075761241485","4.3708075761241485"
"135","4.367684919178078","4.367684919178078","4.367684919178078"
"136","4.3809305889755485","4.3809305889755485","4.3809305889755485"
"137","4.368618775189913","4.368618775189913","4.368618775189913"
"138","4.3779648448238735","4.3779648448238735","4.3779648448238735"
"139","4.370400034328981","4.370400034328981","4.370400034328981"
"140","4.376712001070613","4.376712001070613","4.376712001070613"
"141","4.396537202987878","4.396537202987878","4.396537202987878"
"142","4.381914343156153","4.381914343156153","4.381914343156153"
"143","4.384370170366543","4.384370170366543","4.384370170366543"
"144","4.387002538210014","4.387002538210014","4.387002538210014"
