"Step","Eswimmer_Mnull_DS1000_W5e-05_lr0.01 - train.proj_error_H2W","Eswimmer_Mnull_DS1000_W5e-05_lr0.01 - train.proj_error_H2W__MIN","Eswimmer_Mnull_DS1000_W5e-05_lr0.01 - train.proj_error_H2W__MAX"
"0","0.007313934154808521","0.007313934154808521","0.007313934154808521"
"1","0.017175674438476562","0.017175674438476562","0.017175674438476562"
"2","0.018134107813239098","0.018134107813239098","0.018134107813239098"
"3","0.01938963681459427","0.01938963681459427","0.01938963681459427"
"4","0.021136723458766937","0.021136723458766937","0.021136723458766937"
"5","0.02312544360756874","0.02312544360756874","0.02312544360756874"
"6","0.024895744398236275","0.024895744398236275","0.024895744398236275"
"7","0.02626379206776619","0.02626379206776619","0.02626379206776619"
"8","0.027297843247652054","0.027297843247652054","0.027297843247652054"
"9","0.028076158836483955","0.028076158836483955","0.028076158836483955"
"10","0.028645887970924377","0.028645887970924377","0.028645887970924377"
"11","0.02906453236937523","0.02906453236937523","0.02906453236937523"
"12","0.02940630167722702","0.02940630167722702","0.02940630167722702"
"13","0.029660694301128387","0.029660694301128387","0.029660694301128387"
"14","0.02986842393875122","0.02986842393875122","0.02986842393875122"
"15","0.029995637014508247","0.029995637014508247","0.029995637014508247"
"16","0.030150704085826874","0.030150704085826874","0.030150704085826874"
"17","0.03026084415614605","0.03026084415614605","0.03026084415614605"
"18","0.030352003872394562","0.030352003872394562","0.030352003872394562"
"19","0.030405474826693535","0.030405474826693535","0.030405474826693535"
"20","0.030453002080321312","0.030453002080321312","0.030453002080321312"
"21","0.03049917332828045","0.03049917332828045","0.03049917332828045"
"22","0.03047582507133484","0.03047582507133484","0.03047582507133484"
"23","0.030440257862210274","0.030440257862210274","0.030440257862210274"
"24","0.030411651358008385","0.030411651358008385","0.030411651358008385"
"25","0.030393168330192566","0.030393168330192566","0.030393168330192566"
"26","0.030385011807084084","0.030385011807084084","0.030385011807084084"
"27","0.03040567971765995","0.03040567971765995","0.03040567971765995"
"28","0.030427008867263794","0.030427008867263794","0.030427008867263794"
"29","0.030450286343693733","0.030450286343693733","0.030450286343693733"
"30","0.030439620837569237","0.030439620837569237","0.030439620837569237"
"31","0.03044212982058525","0.03044212982058525","0.03044212982058525"
"32","0.03040873259305954","0.03040873259305954","0.03040873259305954"
"33","0.030390847474336624","0.030390847474336624","0.030390847474336624"
"34","0.030368110164999962","0.030368110164999962","0.030368110164999962"
"35","0.030347561463713646","0.030347561463713646","0.030347561463713646"
"36","0.030364206060767174","0.030364206060767174","0.030364206060767174"
"37","0.03036561980843544","0.03036561980843544","0.03036561980843544"
"38","0.030409354716539383","0.030409354716539383","0.030409354716539383"
"39","0.03043365105986595","0.03043365105986595","0.03043365105986595"
"40","0.030382996425032616","0.030382996425032616","0.030382996425032616"
"41","0.030426539480686188","0.030426539480686188","0.030426539480686188"
"42","0.03039790689945221","0.03039790689945221","0.03039790689945221"
"43","0.030400898307561874","0.030400898307561874","0.030400898307561874"
"44","0.030414626002311707","0.030414626002311707","0.030414626002311707"
"45","0.03036063350737095","0.03036063350737095","0.03036063350737095"
"46","0.03038162924349308","0.03038162924349308","0.03038162924349308"
"47","0.03036642074584961","0.03036642074584961","0.03036642074584961"
"48","0.030323494225740433","0.030323494225740433","0.030323494225740433"
"49","0.030295932665467262","0.030295932665467262","0.030295932665467262"
"50","0.030259471386671066","0.030259471386671066","0.030259471386671066"
"51","0.030240565538406372","0.030240565538406372","0.030240565538406372"
"52","0.030192703008651733","0.030192703008651733","0.030192703008651733"
"53","0.030178118497133255","0.030178118497133255","0.030178118497133255"
"54","0.030127976089715958","0.030127976089715958","0.030127976089715958"
"55","0.03010272979736328","0.03010272979736328","0.03010272979736328"
"56","0.03012075088918209","0.03012075088918209","0.03012075088918209"
"57","0.03003433533012867","0.03003433533012867","0.03003433533012867"
"58","0.030015384778380394","0.030015384778380394","0.030015384778380394"
"59","0.02996078133583069","0.02996078133583069","0.02996078133583069"
"60","0.029898706823587418","0.029898706823587418","0.029898706823587418"
"61","0.029870156198740005","0.029870156198740005","0.029870156198740005"
"62","0.02984451875090599","0.02984451875090599","0.02984451875090599"
"63","0.029841266572475433","0.029841266572475433","0.029841266572475433"
